"Provider_Number","Location","County","Address","City","State","Zip","MailingAddress","MailingCity","MailingState","MailingZip","Email","Phone","LicenseCapacity","Operation_Months","Operation_Days","Hours_Open","Hours_Close","Infant_0_To_12mos","Toddler_13mos_To_2yrs","Preschool_3yrs_To_4yrs","Pre_K_Served","School_Age_5yrs_Plus","Ages_Other_Than_Pre_K_Served","CAPS_Enrolled","Has_Evening_Care","Has_Drop_In_Care","Has_School_Age_Summer_Care","Has_Transport_ToFrom_School","Has_Transport_ToFrom_Home","Has_Cacfp","Accreditation_Status","Program_Type","Provider_Type","Exemption_Category","Available_PreK_Slots","Funded_PreK_Slots","QR_Participant","QR_Rated","QR_Rating","Region","IsTemporarilyClosed","TemporaryClosure_StartDate","TemporaryClosure_EndDate","CurrentProgramStatus"
"EX-52748","Creative Learning Studios","Fayette","170 Greencastle Road","Tyrone","GA","30290","326 Hambrick Park","Fayetteville","GA","30215","creativelearningptc@yahoo.com","(404) 446-7236","","JUN,JUL,AUG","MO,TU,WE,TH,FR","7:30 AM","5:30 PM","False","False","False","False","False","False","False","False","False","False","False","False","False","","Exempt Only","EXMT","Day Camp and School Breaks","N/A","","False","False","","CW","False","","","Open"
"CCLC-54540","Creative Milestones Developmental Academy","Gwinnett","2704 Centerville Hwy","Snellville","GA","30078","2704 Centerville Hwy","Snellville","GA","30078","creativemilestones@yahoo.com","(770) 676-5822","30","JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC","MO,TU,WE,TH,FR","6:00 AM","7:00 PM","True","True","True","False","True","True","True","False","True","False","False","False","True","","Child Care Learning Center","CCLC","","N/A","","True","True","3","NE","False","","","Open"
"CCLC-52543","Creative World School Vinings","Cobb","1975 Cumberland Parkway","Atlanta","GA","30339","1975 Cumberland Pkwy SE","Atlanta","GA","30339","vinings@creativeworldschool.com","(678) 293-5131","167","JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC","MO,TU,WE,TH,FR","6:30 AM","6:30 PM","True","True","True","False","True","True","False","False","False","False","False","False","False","","Child Care Learning Center","CCLC","","N/A","","True","False","","CW","False","","","Open"
"CCLC-51027","Creek Stone Academy","DeKalb","2465 Memorial Drive","Atlanta","GA","30317","2465 Memorial Drive","Atlanta","GA","30317","marcusd333@gmail.com","(678) 515-4133","115","JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC","MO,TU,WE,TH,FR","6:00 AM","6:30 PM","True","True","True","True","True","True","True","False","True","False","False","False","False","","Child Care Learning Center","CCLC","","0","20","True","True","2","CE","False","","","Open"
"CCLC-62782","Creekside Christian Academy","Forsyth","673 Peachtree Pkwy","Cumming","GA","30041","673 Peachtree Pkwy","Cumming","GA","30041","karenroney@creekside.net","(770) 781-0700","286","JAN,FEB,MAR,APR,MAY,AUG,SEP,OCT,NOV,DEC","MO,TU,WE,TH,FR","9:00 AM","1:15 PM","True","True","True","False","True","True","False","False","False","False","False","False","False","","Child Care Learning Center","CCLC","","N/A","","False","False","","NE","False","","","Open"
"LSS-1404340","Creekside Elementary School","","724 Blue Jay Road","Rincon","GA","31326","724 Blue Jay Road","Rincon","GA","31326","kfortson@effingham.k12.ga.us","","","","","","","False","False","False","True","False","False","False","False","False","False","False","False","False","","Local School System","LSS","","0","80","False","False","","","False","","","Open"
"CCLC-1093","Creekstone Academy","DeKalb","475 South Deshon Rd.","Lithonia","GA","30058","475 South Deshon Rd.","Lithonia","GA","30058","ysdrake1@gmail.com","(770) 879-9700","333","JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC","MO,TU,WE,TH,FR","6:00 AM","6:30 PM","True","True","True","True","True","True","True","False","True","True","True","False","True","","Child Care Learning Center","CCLC","","22","40","True","True","2","CE","False","","","Open"
"CCLC-52325","Creekstone Academy","Fayette","95 Creekwood Trail","Fayetteville","GA","30214","95 Creekwood Trail","Fayetteville","GA","30214","ysdrake1@gmail.com","(770) 719-9100","239","JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC","MO,TU,WE,TH,FR","6:00 AM","6:30 PM","True","True","True","True","True","True","True","False","True","False","True","False","True","","Child Care Learning Center","CCLC","","20","20","True","True","2","CW","False","","","Open"
"CCLC-38463","CreekStone Academy at Little Tikes","Gwinnett","2960 Albion Farm Road","Duluth","GA","30097","2960 Albion Farm Road","Duluth","GA","30097","kochoa@creekstone-littletikes.com","(770) 476-4221","310","JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC","MO,TU,WE,TH,FR","6:30 AM","6:30 PM","True","True","True","True","True","True","True","False","True","True","True","False","False","","Child Care Learning Center","CCLC","","96","100","True","True","1","NE","False","","","Open"
"EX-40461","Creighton MMA Summer Camp","Gwinnett","460 Brogdon Rd","Suwanee","GA","30024","5471 Skylar Creek Lane","Buford","GA","30518","jiujitsu333@gmail.com","(770) 271-5292","","APR,JUN,JUL,AUG,NOV,DEC","MO,WE,FR","8:30 AM","1:30 PM","False","False","False","False","False","False","False","False","False","False","False","False","False","","Exempt Only","EXMT","Day Camp and School Breaks","N/A","","False","False","","NE","False","","","Open"
"CCLC-62657","Creme de la Creme Alpharetta","Fulton","11675 Haynes Bridge Road","Alpharetta","GA","30009","11675 Haynes Bridge Road","Alpharetta","GA","30009","alison.distel@cremeschool.com","(770) 777-2960","265","JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC","MO,TU,WE,TH,FR","6:30 AM","7:00 PM","True","True","True","True","True","True","False","False","False","True","False","False","False","","Child Care Learning Center","CCLC","","9","20","False","False","","NW","False","","","Open"
"CCLC-62660","Creme de la Creme Buckhead","Fulton","4669 Roswell Road","Atlanta","GA","30342","4669 Roswell Road","Atlanta","GA","30342","Denise.Hodgson@cremeschool.com","(404) 256-4488","317","JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC","MO,TU,WE,TH,FR","7:00 AM","7:00 PM","True","True","True","True","True","True","False","False","False","False","False","False","False","","Child Care Learning Center","CCLC","","4","20","False","False","","NW","False","","","Open"
"CCLC-62661","Creme de la Creme of East Cobb in Marietta","Cobb","726 Woodlawn Drive","Marietta","GA","30068","726 Woodlawn Drive","Marietta","GA","30068","Bianca.Street@cremeschool.com","(770) 971-2205","246","JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC","MO,TU,WE,TH,FR","6:30 AM","7:00 PM","True","True","True","True","True","True","False","False","False","True","False","False","False","","Child Care Learning Center","CCLC","","0","20","False","False","","CW","False","","","Open"
"CCLC-62659","Creme de la Creme of Peachtree Corners","Gwinnett","4785 Peachtree Corners Circle","Norcross","GA","30092","4785 Peachtree Corners Circle","Peachtree Corners","GA","30092","katie.moyer@cremeschool.com","(770) 409-0000","247","JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC","MO,TU,WE,TH,FR","6:30 AM","7:00 PM","True","True","True","True","True","True","False","False","True","False","False","False","False","","Child Care Learning Center","CCLC","","7","20","False","False","","NE","False","","","Open"
"CCLC-62656","Creme de la Creme Sugarloaf","Gwinnett","2349 Meadow Church Road","Duluth","GA","30097","2349 Meadow Church Road","Duluth","GA","30097","Stacey.Nicholson@cremeschool.com","(678) 389-4403","317","JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC","MO,TU,WE,TH,FR","6:30 AM","6:30 AM","True","True","True","False","True","True","False","False","False","True","True","False","False","","Child Care Learning Center","CCLC","","N/A","","False","False","","NE","False","","","Open"
"LSS-425","Crescent","Spalding","201 Crescent Rd.","Griffin","GA","30223","201 Crescent Rd.","Griffin","GA","30223","amie.chambers@gscs.org","(770) 229-3719","0","JAN,FEB,MAR,APR,MAY,AUG,SEP,OCT,NOV,DEC","MO,TU,WE,TH,FR","7:30 AM","3:00 PM","False","False","False","True","False","False","False","False","False","False","True","True","False","SACS|GAC","Local School System","LSS","","2","40","False","False","","SW","False","","","Open"
"CCLC-49768","Crescent Lakes Academy LLC","Cobb","1456 South Cobb Drive","Marietta","GA","30060","1456 South Cobb Drive","Marietta","GA","30060","crescentlakesacademy1@gmail.com","(770) 426-8065","57","JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC","MO,TU,WE,TH,FR","6:30 AM","6:30 PM","True","True","True","False","True","True","True","False","True","False","False","False","True","","Child Care Learning Center","CCLC","","N/A","","True","True","2","CW","False","","","Open"
"CCLC-46062","Crestwood Child Care Academy","Clayton","7721 Mount Zion Boulevard","Jonesboro","GA","30236","7721 Mount Zion Boulevard","Jonesboro","GA","30236","ajay_goy@yahoo.com","(770) 477-6997","198","JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC","MO,TU,WE,TH,FR","5:30 AM","7:00 PM","True","True","True","True","True","True","True","True","False","True","True","False","True","","Child Care Learning Center","CCLC","","12","40","True","True","2","CW","False","","","Open"
"CCLC-39085","Cribs to Crayons Daycare","Barrow","171 W. Athens Street","Winder","GA","30680","171 W. Athens Street","Winder","GA","30680","connielwilbanks@gmail.com","(770) 868-5437","66","JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC","MO,TU,WE,TH,FR","6:30 AM","6:00 PM","True","True","True","False","True","True","False","False","False","False","False","False","False","","Child Care Learning Center","CCLC","","N/A","","True","False","","NE","False","","","Open"
"CCLC-28905","Cricket's Learning Center","Richmond","2250 Wheeless Road","Augusta","GA","30904","2250 WHEELESS RD","","GA","30904","ericaalbea@comcast.net","(706) 496-8754","72","JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC","MO,TU,WE,TH,FR","6:00 AM","7:00 PM","True","True","True","False","True","True","True","False","True","True","True","False","True","","Child Care Learning Center","CCLC","","N/A","","True","True","2","CE","False","","","Open"
"GAHS-33644","Crisp County Head Start","Crisp","1110 12th Street, South","Cordele","GA","31015","1005 State University Drive, 1005 State University Drive","Fort Valley","GA","31030","johnsonw02@fvsu.edu","(478) 825-6422","0","JAN,FEB,MAR,APR,MAY,AUG,SEP,OCT,NOV,DEC","MO,TU,WE,TH,FR","8:00 AM","2:30 PM","False","False","True","False","True","True","False","False","False","False","False","False","True","NAEYC","GA Head Start","GAHS","","N/A","","True","True","2","SW","False","","","Open"
"LSS-1238","Crisp County Pre-K","Crisp","802 East 24th Avenue","Cordele","GA","31015-4215","802 East 24th Avenue","Cordele","GA","31015-4215","abickhaus@crispschools.org","(229) 276-3410","0","JAN,FEB,MAR,APR,MAY,AUG,SEP,OCT,NOV,DEC","MO,TU,WE,TH,FR","7:30 AM","3:00 PM","False","False","False","True","False","False","False","False","False","False","True","True","False","SACS","Local School System","LSS","","220","220","False","False","","SW","False","","","Open"
"EX-60821","Crisp Schools Early Learning Academy","Crisp","802 East 24th Avenue","Cordele","GA","31015","802 East 24th Avenue","Cordele","GA","31015","mwarren@crispschools.org","(229) 322-5497","","JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC","MO,TU,WE,TH,FR","7:00 AM","5:30 PM","False","False","False","False","False","False","False","False","False","False","True","False","False","","Exempt Only","EXMT","Government","N/A","","False","False","","SW","False","","","Open"
"EX-49401","Critter Camp","Fulton","4055 Roswell Road NE","Atlanta","GA","30342","4055 Roswell Road NE","Atlanta","GA","30342","crystal@amphibianfoundation.org","(562) 774-2248","","JUN,JUL,AUG","MO,TU,WE,TH,FR","9:00 AM","4:00 PM","False","False","False","False","False","False","False","False","False","False","False","False","False","","Exempt Only","EXMT","Day Camp and School Breaks","N/A","","False","False","","NW","False","","","Open"
"EX-54069","Critter Camp","DeKalb","862 Columbia Drive","Decatur","GA","30030","862 Columbia Drive","Decatur","GA","30030","crystal@amphibianfoundation.org","(562) 774-2248","","JUN,JUL","MO,TU,WE,TH,FR","","","False","False","False","False","False","False","False","False","False","False","False","False","False","","Exempt Only","EXMT","Day Camp and School Breaks","N/A","","False","False","","CE","False","","","Open"
"CCLC-16138","CRK Child Development Center","Dougherty","2103 East Broad Avenue","Albany","GA","31705","2103 East Broad Avenue","Albany","GA","31705","mawilliams@swgacac.com","(229) 432-5440","80","JAN,FEB,MAR,APR,MAY,AUG,SEP,OCT,NOV,DEC","MO,TU,WE,TH,FR","8:00 AM","2:30 PM","False","True","True","False","False","True","False","False","False","False","False","False","True","","Child Care Learning Center","CCLC","","N/A","","True","True","1","SW","False","","","Open"
"LSS-1361","Crooked River Elementary","Camden","3570 Charlie Smith Sr. Hwy.","St. Marys","GA","31558","3570 Charlie Smith Sr. Hwy.","St. Marys","GA","31558","dpocernick@camden.k12.ga.us","(912) 673-6995","0","JAN,FEB,MAR,APR,MAY,AUG,SEP,OCT,NOV,DEC","MO,TU,WE,TH,FR","7:30 AM","3:00 PM","False","False","False","True","False","False","False","False","False","False","True","True","False","SACS|GAC","Local School System","LSS","","0","20","False","False","","SE","False","","","Open"
"CCLC-35243","Cross Roads Christian School of Paulding","Paulding","8492 Hiram Acworth Hwy.","Dallas","GA","30132","8492 Hiram Acworth Hwy. Suite 105","Dallas","GA","30157","crcschool@att.net","(678) 574-8680","63","JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC","MO,TU,WE,TH,FR","6:30 AM","6:30 PM","True","True","True","False","True","True","True","False","True","True","False","False","False","","Child Care Learning Center","CCLC","","N/A","","True","True","2","CW","False","","","Open"
"FR-000011852","Cross, Dayana C","Fulton","10995 Spotted Pony Trail","Alpharetta","GA","30022","10995 Spotted Pony Trail","Johns Creek","GA","30022","dayanasdaycare@hotmail.com","(678) 554-7887","6","JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC","MO,TU,WE,TH,FR","8:00 AM","5:00 PM","True","True","True","False","True","True","False","False","False","False","False","False","True","","Family Child Care Learning Home","FCCLH","","N/A","","True","True","3","NW","False","","","Open"
"EX-54557","Crossroads Christian Academy","Pierce","2193 Golf Course Rd.","Blackshear","GA","31516","2193 Golf Course Rd.","Blackshear","GA","31516","spearce@ccawaycross.com","(912) 490-2224","","JUN,JUL","MO,TU,WE,TH,FR","","","False","False","False","False","False","False","False","False","False","False","False","False","False","GACS","Exempt Only","EXMT","Day Camp and School Breaks","N/A","","False","False","","SE","False","","","Open"
"EX-53133","Crossroads:Bridging The Gap","Polk","512 East Gibson Street","Cedartown","GA","30125","512 East Gibson Street","Cedartown","GA","30125","wmsimpson25@hotmail.com","(678) 249-5323","","JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,OtherSchoolBreak","MO,TU,WE,TH,FR","9:00 AM","5:30 PM","False","False","False","False","False","False","False","False","False","False","False","False","False","","Exempt Only","EXMT","Day Camp and School Breaks","N/A","","False","False","","NW","False","","","Open"
"FR-50409","Crowder, Kandice K","Houston","101 Trippi Terrace","Warner Robins","GA","31088","101 Trippi Terrace","Warner Robins","GA","31088","kandicewilcox89@gmail.com","(478) 390-6761","6","JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC","MO,TU,WE,TH,FR","7:00 AM","5:00 PM","False","True","True","False","True","True","True","False","True","False","False","False","True","","Family Child Care Learning Home","FCCLH","","N/A","","True","True","2","SW","False","","","Open"
"EX-53169","Crown Creative High Acheivers","Henry","192B West Campground Rd.","McDonough","GA","30281","192B West Campground Rd.","McDonough","GA","30281","k.hylton@cchaedu.com","(770) 896-3039","","JAN,FEB,MAR,APR,MAY,JUN,AUG,SEP,OCT,NOV,DEC","MO,TU,WE,TH,FR","9:00 AM","1:00 PM","False","False","False","False","False","False","False","False","False","False","False","False","False","","Exempt Only","EXMT","Day Camp and School Breaks","N/A","","False","False","","SW","False","","","Open"
"EX-50515","Crowned Angels Child Development Center","Fulton","2053 B Metropolitan Parkway","Atlanta","GA","30315","2053 B Metropolitan Parkway","Atlanta","GA","30315","woods.rstephanie@gmail.com","(404) 817-1353","","JAN,APR,JUN,JUL,AUG,OCT,NOV,DEC","MO,TU,WE,TH,FR","7:00 AM","6:30 PM","False","False","False","False","False","False","False","False","False","False","False","False","False","","Exempt Only","EXMT","Day Camp and School Breaks","N/A","","False","False","","NW","False","","","Open"
"FR-000002996","Cruse, Valeri B","Whitfield","4036 VILLAGE DRIVE","Cohutta","GA","30710","4036 VILLAGE DRIVE","COHUTTA","GA","30710","kvjb1819@hotmail.com","(706) 280-5190","6","JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC","MO,TU,WE,TH,FR","7:30 AM","4:00 PM","True","True","True","False","True","True","False","False","True","False","False","False","False","","Family Child Care Learning Home","FCCLH","","N/A","","False","False","","NE","False","","","Open"
"EX-44050","Crystal Hill Day Camp","Upson","305 Lavender Lane","Thomaston","GA","30286","P.O. Box 1183","Thomaston","GA","30286","smallworldchildcare71@outlook.com","(706) 647-4491","","JAN,FEB,MAR,APR,MAY,AUG,SEP,OCT,NOV,DEC","MO,TU,WE,TH,FR","8:00 AM","5:00 PM","False","False","False","False","False","False","False","False","False","False","False","False","False","","Exempt Only","EXMT","Day Camp and School Breaks","N/A","","False","False","","SW","False","","","Open"
"FR-39125","Cubillos, Martha L","Gwinnett","1967 Walden Park Drive","Snellville","GA","30078","1967 Walden Park Drive","Snellville","GA","30078","marthacc129@hotmail.com","(678) 993-7008","5","JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC","MO,TU,WE,TH,FR","7:00 AM","6:00 PM","True","True","True","False","True","True","True","False","False","False","False","False","True","","Family Child Care Learning Home","FCCLH","","N/A","","True","True","3","NE","False","","","Open"
"CCLC-51989","CUC Academy","DeKalb","5148 Memorial Drive","Stone Mountain","GA","30083","5148 Memorial Drive","Stone Mountain","GA","30083","shaurinad@gmail.com","(470) 357-6110","207","JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC","MO,TU,WE,TH,FR,SA,SU","5:00 AM","11:45 PM","True","True","True","True","True","True","True","False","False","False","False","False","True","","Child Care Learning Center","CCLC","","20","20","True","True","2","CE","False","","","Open"
"CCLC-50743","Culbertson Child Development Center","Colquitt","570 Jonah Tillman Road","Moultrie","GA","31776","570 Jonah Tillman Road","Moultrie","GA","31776","edavis@swgacac.com","(229) 985-7400","196","JAN,FEB,MAR,APR,MAY,AUG,SEP,OCT,NOV,DEC","MO,TU,WE,TH,FR","8:00 AM","2:30 PM","False","False","True","False","False","True","False","False","False","False","False","True","True","","Child Care Learning Center","CCLC","","N/A","","True","True","2","SW","False","","","Open"
"EX-47651","Cumberland Academy of Georgia Summer Camp","Fulton","650 Mount Vernon Highway","Atlanta","GA","30328","650 Mount Vernon Highway","Atlanta","GA","30328","janet.tucker@cumberlandacademy.org","(404) 835-9000","","JUL,AUG","MO,TU,WE,TH,FR","9:00 AM","2:00 PM","False","False","False","False","False","False","False","False","False","False","False","False","False","NECPA","Exempt Only","EXMT","Day Camp and School Breaks","N/A","","False","False","","NW","False","","","Open"
"GAHS-38590","Cumming Elementary","Forsyth","540 Dahlonega Hwy","Cumming","GA","30040","540 Dahlonega Hwy","Cumming","GA","30040","rufina.garcia@ndohs.org","(770) 887-7749","","JAN,FEB,MAR,APR,MAY,AUG,SEP,OCT,NOV,DEC","MO,TU,WE,TH,FR","7:30 AM","3:00 PM","False","False","False","True","False","False","False","False","False","False","False","False","False","","GA Head Start","GAHS","","0","40","False","False","","NE","False","","","Open"
"CCLC-62620","Cumming KinderCare","Forsyth","124 North Corners Parkway","Cumming","GA","30040","3051 Parkbrooke Circle","Woodstock","GA","30189","marneishia.fuller@kindercare.com","(770) 888-4788","171","JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC","MO,TU,WE,TH,FR","6:30 AM","6:00 PM","True","True","True","True","True","True","True","False","True","False","True","False","False","","Child Care Learning Center","CCLC","","40","40","True","True","2","NE","False","","","Open"
"FR-58570","Cummings, Barbara R","Bibb","6990 Chant Road","Lizella","GA","31052","6990 Chant Road","Lizella","GA","31052","sistercs@yahoo.com","(352) 328-5120","6","JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC","MO,TU,WE,TH,FR,SA","6:00 AM","11:00 PM","True","True","True","False","True","True","True","True","True","False","True","True","False","","Family Child Care Learning Home","FCCLH","","N/A","","True","True","1","SW","False","","","Open"
"EX-45506","Curie Learning Center","Forsyth","1205 Peachtree Pkwy","Cumming","GA","30041","11937 Thornbury View","Alpharetta","GA","30005","curie.atlanta@gmail.com","(678) 807-9456","","JUN,JUL,AUG","MO,TU,WE,TH,FR","8:30 AM","5:30 PM","False","False","False","False","False","False","False","False","False","False","False","False","False","","Exempt Only","EXMT","Day Camp and School Breaks","N/A","","False","False","","NE","False","","","Open"
"CCLC-66343","Curious Rose Learning Center","Fulton","2264 Childress Dr SW","Atlanta","GA","30311","2264 Childress Dr SW","Atlanta","GA","30311","directorcwatl@gmail.com","(470) 346-2819","59","JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC","MO,TU,WE,TH,FR","6:00 AM","6:30 PM","True","True","True","False","True","True","True","False","True","False","True","True","False","","Child Care Learning Center","CCLC","","N/A","","True","True","2","NW","False","","","Open"
"FR-16811","Curtis-Ferrebee, Shalin Z","Chatham","1 BELLADONA WAY","Savannah","GA","31419","1 Belladona Way","Savannah","GA","31419","seeshay1@gmail.com","(912) 596-8574","6","JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC","MO,TU,WE,TH,FR,SA,SU","12:00 AM","11:59 PM","True","True","True","False","True","True","True","True","True","True","True","True","True","","Family Child Care Learning Home","FCCLH","","N/A","","True","True","3","SE","False","","","Open"
"FR-000000793","Cutter, Elizabeth E.","Chatham","3119 ROBERTSON STREET","Savannah","GA","31404","3119 ROBERTSON STREET","SAVANNAH","GA","31404","lizzi51@gmail.com","(912) 713-5842","6","JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC","MO,TU,WE,TH,FR","7:30 AM","5:00 PM","False","True","True","False","False","True","False","False","False","False","False","False","False","","Family Child Care Learning Home","FCCLH","","N/A","","True","False","","SE","False","","","Open"
"FR-000005844","Cuyler, Annette","Chatham","706 West 58th Street","Savannah","GA","31405","706 West 58th Street","Savannah","GA","31405","ANNETTECUYLER@YAHOO.COM","(912) 306-9451","6","JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC","MO,TU,WE,TH,FR","7:30 AM","5:30 PM","True","True","True","False","True","True","False","False","True","False","False","False","True","","Family Child Care Learning Home","FCCLH","","N/A","","True","False","","SE","False","","","Open"
"EX-57172","Cyber City Circuiteers","Richmond","1001 Walton Way","Augusta","GA","30901","1001 Walton Way","Augusta","GA","30901","David@CyberCityCircuits.com","(762) 222-1691","","MAY,JUN,JUL,AUG","MO,TU,WE,TH,FR,SA","9:00 AM","9:00 PM","False","False","False","False","False","False","False","False","False","False","False","False","False","","Exempt Only","EXMT","Day Camp and School Breaks","N/A","","False","False","","CE","False","","","Open"
"DOD-36951","CYSS","Chattahoochee","Bldg. 2653, Ingersoll Street","Fort Benning","GA","31905","Bldg. 2653, Ingersoll Street","Fort Benning","GA","31905","cody.j.hughley.naf@mail.mil","(706) 545-3605","","JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC","MO,TU,WE,TH,FR","5:30 AM","6:30 PM","False","False","False","False","True","True","False","False","False","True","True","False","True","COA","Department of Defense","DOD","","N/A","","False","False","","SW","False","","","Open"
"EX-53355","D-BAT/TOCA Buckhead","Fulton","2345 Adams Drive Northwest","Atlanta","GA","30318","2345 Adams Dr NW","Atlanta","GA","30318","info@dbatatlanta.com","(404) 355-9700","","JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,OtherSchoolBreak","MO,TU,WE,TH,FR","8:00 AM","6:00 PM","False","False","False","False","False","False","False","False","False","False","False","False","False","","Exempt Only","EXMT","Day Camp and School Breaks","N/A","","False","False","","NW","False","","","Open"
"EX-53353","D-BAT/TOCA Marietta","Cobb","1666 Roswell Rd","Marietta","GA","30062","1666 Roswell Rd","Marietta","GA","30062","barmstrong@tocafootball.com","(678) 403-2632","","JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,OtherSchoolBreak","MO,TU,WE,TH,FR","8:00 AM","6:00 PM","False","False","False","False","False","False","False","False","False","False","False","False","False","","Exempt Only","EXMT","Day Camp and School Breaks","N/A","","False","False","","CW","False","","","Open"
"EX-53351","D-BAT/TOCA Perimeter","Gwinnett","3039 Amwiler Rd","Atlanta","GA","30360","3039 Amwiler Rd","Atlanta","GA","30360","barmstrong@tocafootball.com","(678) 459-2457","","JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,OtherSchoolBreak","MO,TU,WE,TH,FR","8:00 AM","6:00 PM","False","False","False","False","False","False","False","False","False","False","False","False","False","","Exempt Only","EXMT","Day Camp and School Breaks","N/A","","False","False","","NE","False","","","Open"
"EX-53354","D-BAT/TOCA West-Cobb","Cobb","3246 Odeon Way","Kennesaw","GA","30144","3246 Odeon Way","Kennesaw","GA","30144","tsheffield@tocafootball.com","(678) 496-7777","","JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,OtherSchoolBreak","MO,TU,WE,TH,FR","8:00 AM","6:00 PM","False","False","False","False","False","False","False","False","True","False","False","False","False","","Exempt Only","EXMT","Day Camp and School Breaks","N/A","","False","False","","CW","False","","","Open"
"LSS-229","D.A.F.F.O.D.I.L. Center","Ware","1321 Buchannon Street","Waycross","GA","31501-6639","1321 Buchannon Street","Waycross","GA","31501-6639","sjohnson@ware.k12.ga.us","(912) 287-2311","308","JAN,FEB,MAR,APR,MAY,AUG,SEP,OCT,NOV,DEC","MO,TU,WE,TH,FR","7:55 AM","2:25 PM","False","False","True","True","False","True","False","False","False","False","True","True","False","GAC","Local School System","LSS","","16","280","False","False","","SE","False","","","Open"
"LSS-1398984","Dacula Elementary","Gwinnett","2500 Fence Rd","Dacula","GA","30019","2500 Fence Rd","Dacula","GA","30019","kim.f.holland@gcpsk12.org","","","","","","","False","False","False","True","False","False","False","False","False","False","False","False","False","","Local School System","LSS","","16","20","False","False","","NE","False","","","Open"
"CCLC-29045","Dacula Family Sports","Gwinnett","144 Broad Street","Dacula","GA","30019","144 Broad Street","Dacula","GA","30019","ruthmasters@daculafamilysports.com","(770) 237-2121","85","JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC","MO,TU,WE,TH,FR","3:30 PM","7:00 PM","False","False","True","False","True","True","False","False","False","False","True","False","False","","Child Care Learning Center","CCLC","","N/A","","False","False","","NE","False","","","Open"
"EX-40056","Dacula Family Sports","Gwinnett","144 Broad Street","Dacula","GA","30019","144 Broad Street","Dacula","GA","30019","bobby@daculafamilysports.com","(770) 237-2121","","JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC","MO,TU,WE,TH,FR","9:00 AM","4:00 PM","False","False","False","False","False","False","False","False","False","False","True","False","False","","Exempt Only","EXMT","Day Camp and School Breaks","N/A","","False","False","","NE","False","","","Open"
