"county","center","phone","ages","capacity","city","addr1","addr2","zip","inspections"
"Essex","Hazel Avenue School Before and After Care","973-669-5448","6 to 13","60","West Orange","45 Hazel Ave",,"07052","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/07HAZ0001.shtml)"
"Essex","Gregory Avenue School Before & After Care","973-736-3674","6 to 13","100","West Orange","301 Gregory Ave",,"07052","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/07GRE0005.shtml)"
"Essex","Kelly School Before & After School Program","973-736-1282","6 to 13","100","West Orange","555 Pleasant Valley Way",,"07052","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/07PLE0001.shtml)"
"Essex","West Orange Community House and Boys and Girls Club","973-736-1282","6 to 13","100","West Orange","289 Washington Street","Washington Street School","07052","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/080100159.shtml)"
"Essex","West Orange Community House & Boys & Girls Club","973-669-5480","6 to 13","100","West Orange","9 Manger Road",,"07052","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/07MOU0009.shtml)"
"Essex","West Orange Community House and Boys & Girls Club, Inc.","973-736-1282","0 to 6","180","West Orange","242 Main Street",,"07052","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/07WES0001.shtml)"
"Union","Abraham Lincoln School #14 - YMCA After School Program","908-355-9622","6 to 13","60","Elizabeth","50 Grove Street",,"07202","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/20ABR0001.shtml)"
"Union","YMCA of Eastern Union County - Elmora School #12","908-355-9622","6 to 13","65","Elizabeth","638 Magie Avenue","Ellmora School","07202","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/070900211.shtml)"
"Union","Madison-Monroe School #16 YMCA After School Program","908-355-9622","6 to 13","60","Elizabeth","1091 North Avenue",,"07201","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/081100103.shtml)"
"Union","Dr. Antonia Pantoja School #27 - YMCA After School Program","908-900-8422","6 to 13","25","Elizabeth","505-517 Morris Avenue",,"07201","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/090900002.shtml)"
"Union","Rahway 7th and 8th Grade Academy","732-396-1025","2½ to 6","75","Rahway","1138 Kline Place",,"07065","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/171000271.shtml)"
"Union","Livingston Aftercare-YMCA","908-688-9622","6 to 13","116","Union","Midland Blvd",,"07083","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/20LIV0003.shtml)"
"Union","Battle Hill Aftercare","908-688-9622","6 to 13","60","Union","2600 Killian Place",,"07083","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/20BAT0003.shtml)"
"Union","Washington Aftercare","908-851-6462","6 to 13","100","Union","301 Washington Ave",,"07083","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/20WAS0003.shtml)"
"Union","Connecticut Farms Aftercare","908-851-6472","6 to 13","130","Union","875 Stuyvesant Ave",,"07083","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/20CON0004.shtml)"
"Union","Franklin Aftercare","908-764-1997","6 to 13","140","Union","Lindy Terrace",,"07083","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/20FRA0002.shtml)"
"Union","Hannah Caldwell School School-age Program","908-688-9622","6 to 13","180","Union","1120 Commerce Ave",,"07083","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/20HAN0002.shtml)"
"Union","Jefferson School","908-851-6560","6 to 13","60","Union","155 Hilton Avenue",,"07083","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/20CEN0003.shtml)"
"Union","Burnett Middle School (Aftercare Program)","908-688-9622","6 to 13","60","Union","1000 Caldwell Avenue",,"07083","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/161100046.shtml)"
"Union","Kawameeh Middle School Aftercare Program","908-688-9622","6 to 13","60","Union","490 David Terrace",,"07083","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/161100042.shtml)"
"Union","Franklin School","732-388-0057","2½ to 13","60","Rahway","1809 St Georges Ave",,"07065","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/20FRA0003.shtml)"
"Union","Rahway YMCA - Roosevelt School","732-396-1065","6 to 13","60","Rahway","811 St Georges Ave",,"07065","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/20RAH0001.shtml)"
"Morris","Jefferson Child Care & Education Center","973-663-3822","6 to 13","60","Lake Hopatcong","E.T. Briggs Before & After Sch","Espanong Rd","07849","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/14JEF0005.shtml)"
"Morris","Jefferson Child Care & Education Center","973-663-2704","0 to 13","109","Lake Hopatcong","29 Nolan'S Point Rd",,"07849","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/14JEF0001.shtml)"
"Morris","Jefferson Child Care & Education Center","973-663-2704","6 to 13","84","Lake Hopatcong","Arthur Stanlick School","East Shawnee Trail","07849","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/14JEF0004.shtml)"
"Morris","Jefferson Child Care & Education Center","973-208-2191","6 to 13","45","Oak Ridge","White Rock School","2 Francine Place","07438","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/14JEF0008.shtml)"
"Morris","King Of Kings Preschool","973-334-4085","2½ to 6","80","Mountain Lakes","145 Rt 46 West",,"07046","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/14KIN0004.shtml)"
"Mercer","Mercer County Catholic Youth Organization","609-585-4280","2½ to 13","101","Hamilton","453 Yardville-Allentown Rd",,"08620","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/11MER0018.shtml)"
"Mercer","Ewing CYO at Hollowbrook","609-883-1560","2½ to 13","131","Ewing","320 Hollowbrook Drive",,"08638","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/11MER0002.shtml)"
"Mercer","Before/After School Program at Lalor School","609-631-4156","6 to 13","114","Hamilton","25 Barnt Deklyn Road","Lalor School","08610","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/100800059.shtml)"
"Mercer","Before/After School Program at Wilson School","609-888-1358","6 to 13","60","Hamilton","600 E Park Ave","Wilson School","08610","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/100800058.shtml)"
"Mercer","Before/After School Program at Klockner School","609-631-4154","6 to 13","81","Hamilton","830 Klockner Road",,"08619","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/110800060.shtml)"
"Mercer","Before/After School Program at Greenwood School","609-631-4151","6 to 13","95","Hamilton","2069 Greenwood Ave",,"08609","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/110800072.shtml)"
"Mercer","Mercer County CYO (CYO Center)","609-396-8383","2½ to 13","255","Trenton","920 S Broad Street",,"08611","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/11MER0005.shtml)"
"Mercer","CYO - East State Street Center","609-396-8383","2½ to 13","144","Trenton","794 East State Street",,"08609","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/120800172.shtml)"
"Hudson","Bayonne PAL Day Care Center","201-437-6427","2½ to 13","316","Bayonne","550 Ave A",,"07002","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/09BAY0007.shtml)"
"Hunterdon","Three Bridges Christian Nursery School","908-782-4201","2½ to 6","60","Three Bridges","470 Main Street",,"08887","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/10THR0001.shtml)"
"Burlington","Family Co-op Nursery School","856-786-7798","2½ to 6","27","Cinnaminson","2618 New Albany Rd","Covenant Presbyterian Church","08077","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/03FAM0001.shtml)"
"Camden","Respond, Inc-Bank Street Day Care","856-963-9155","0 to 6","120","Camden","155 Marlton Ave",,"08102","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/04RES0002.shtml)"
"Camden","Respond, Inc - Linden Street Child Care Ctr.","856-966-0089","2½ to 6","94","Camden","400 N 9th Street",,"08102","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/04RES0006.shtml)"
"Camden","Respond, Inc. - North Camden Child Development Center","856-966-9081","0 to 6","127","Camden","548-554 State Street",,"08102","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/04RES0017.shtml)"
"Camden","Respond, Inc. - Fairview Village","856-365-4403","0 to 6","105","Camden","3001-3007 Fenwick Rd",,"08104","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/04RES0013.shtml)"
"Camden","Respond, Inc.-Pyne Poynt PreSchool and Child Development Ctr","856-583-2630","2½ to 13","120","Camden","924 North 8th Street",,"08102","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/090700188.shtml)"
"Warren","Greenwich Nursery School, Inc.","908-479-6886","2½ to 6","70","Stewartsville","17 Greenwich Church Rd",,"08886","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/21GRE0002.shtml)"
"Middlesex","New Beginnings Preschool","732-634-0362","2½ to 6","34","Woodbridge","69 Main Street",,"07095","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/12NEW0001.shtml)"
"Middlesex","Helping Hands N.S.","732-225-4432","2½ to 13","99","Edison","1059 Amboy Ave",,"08837-2800","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/12HEL0002.shtml)"
"Bergen","Presbyterian Day Care of New Milford","201-986-2273","2½ to 13","60","New Milford","737 River Rd",,"07646","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/02PRE0002.shtml)"
"Cumberland","Upper Deerfield Pre-School","856-455-7975","0 to 13","99","Upper Deerfield","1123 Hwy 77","Building 3","08302","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/06UPP0001.shtml)"
"Cumberland","Infant and Toddler Center of Vineland","856-455-7975","0 to 6","99","Vineland","605 N Delsea Drive",,"08360","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/170500016.shtml)"
"Monmouth","Sandpiper School, Inc.","732-449-2630","2½ to 6","57","Spring Lake","Wesley Hall","Fourth Ave & Mercer Street","07762","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/13SAN0001.shtml)"
"Atlantic","Little PAL's Preschool","609-646-9586","0 to 13","57","Egg Harbor Township","2594 Tilton Rd",,"08234","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/01LIT0013.shtml)"
"Gloucester","Under the Sun Learning Center of West Deptford","856-468-5454","0 to 13","156","West Deptford","1111 Mantua Pike (Rt 45) And","1107 Mantua Pike Suite 708","08051","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/08UND0001.shtml)"
"Bergen","Playmate Too Child Care Center","973-473-7529","0 to 6","30","Lodi","50 Autumn Street",,"07644","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/02PLA0002.shtml)"
"Bergen","The Learning Place of Dumont","201-387-0797","0 to 6","60","Dumont","75 W Madison Ave",,"07628","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/02LEA0010.shtml)"
"Bergen","Children's Learning Center of Wyckoff","201-847-8400","0 to 13","217","Mahwah","11 Leighton Pl",,"07430","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/02CHI0003.shtml)"
"Bergen","All About Me, Inc.","201-945-0234","0 to 6","60","Cliffside Park","225 Edgewater Rd",,"07010","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/02ALL0005.shtml)"
"Bergen","All About Me, Inc.","201-569-9112","0 to 13","163","Cresskill","5 Legion Dr",,"07626","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/02ALL0012.shtml)"
"Bergen","All About Me, Inc.","201-945-0266","2½ to 6","60","Cliffside Park","555 Palisade Ave",,"07010","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/02ALL0004.shtml)"
"Bergen","Yaldenu Day Care Center, Inc.","201-801-0291","2½ to 6","49","Teaneck","85 Copley Ave",,"07666","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/02YAL0001.shtml)"
"Hudson","The Good Shepherd of the Little Ones 2","201-997-4399","0 to 2½","28","Kearny","777 Kearny Ave",,"07032","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/09GOO0002.shtml)"
"Hudson","The Good Shepherd of the Little Ones 1","201-997-6895","2½ to 13","85","Kearny","780 Kearny Ave",,"07032","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/09GOO0001.shtml)"
"Essex","NCC Harmony House Early Learning Center","973-242-3115","0 to 13","113","Newark","278 S Orange Ave",,"07103","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/07NCC0002.shtml)"
"Bergen","Sarkis & Siran Gabrellian C.C.&Lrng.Ctr.","551-996-2987","0 to 13","253","Hackensack","30 Prospect Ave",,"07601","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/02SAR0002.shtml)"
"Essex","The Holiness Pentecostal Day Care Center","973-484-6777","2½ to 13","60","Newark","22 Halleck Street",,"07104","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/07HOL0005.shtml)"
"Essex","Norjenes Day Care Center","973-675-9330","2½ to 13","38","East Orange","61 N Arlington Ave",,"07017","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/07NOR0005.shtml)"
"Essex","Norjenes I Day Care Center","973-675-0213","0 to 13","45","Orange","365-373 Lincoln Ave",,"07050","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/07NOR0008.shtml)"
"Essex","Norjenes Day Care IV","973-677-4299","2½ to 13","162","Orange","325-339 Mechanic St Bldg B",,"07050","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/07NOR0003.shtml)"
"Bergen","Come Sit With Me, Inc.","201-945-6044","2½ to 13","15","Cliffside Park","14 Glen Street",,"07010","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/02COM0001.shtml)"
"Essex","Rainbow Land Learning Center","973-491-5084","2½ to 6","135","Newark","67-71 And 73-77 Somme Street",,"07105","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/07RAI0004.shtml)"
"Essex","Little Angels Nursery School","973-661-0537","0 to 6","60","Nutley","188 Washington Ave",,"07110","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/07LIT0020.shtml)"
"Mercer","Kids R First II","609-396-1111","2½ to 6","119","Trenton","506-508 E State Street",,"08609","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/11KID0009.shtml)"
"Mercer","Kids R First III","609-396-1500","2½ to 13","168","Trenton","415 Greenwood Ave & 212-220 S",,"08611","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/070900201.shtml)"
"Mercer","Kids ""R' First","609-396-8500","2½ to 6","79","Trenton","635 S Clinton Ave","Roebling Market Pl","08611","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/11KID0003.shtml)"
"Essex","New Life Child Care Learning Center","973-926-0245","2½ to 6","30","Newark","302 Chancellor Ave",,"07112","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/07NEW0020.shtml)"
"Essex","Emmanuel's Wee Garden Center","973-242-3552","2½ to 13","30","Newark","54-60 Irvine Turner Blvd",,"07103","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/07EMM0001.shtml)"
"Union","Precious People Early Learning Center","908-233-2330","2½ to 6","46","Westfield","132 S Ave E",,"07090","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/20PRE0006.shtml)"
"Gloucester","ABC Academy at the Campus, Inc.","856-374-7100","2½ to 6","21","Turnersville","901 Route #168 - Ste 402",,"08012","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/08ABC0002.shtml)"
"Mercer","Kinder World Educare Center","609-689-9999","2½ to 13","35","Hamilton","1984 Greenwood Ave",,"08609","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/11KIN0003.shtml)"
"Mercer","Kinder World EduCare Center","609-689-9999","0 to 13","64","Hamilton","1337 Hamilton Avenue",,"08629","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/100800191.shtml)"
"Monmouth","Early Years Development Center II","732-335-1604","0 to 6","30","Union Beach","865 Hwy 36",,"07735","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/13EAR0004.shtml)"
"Cumberland","Glory Tabernacle ChildCare & Learning Center","856-451-1552","0 to 13","86","Bridgeton","1018 Buckshutem Rd",,"08302","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/06GLO0001.shtml)"
"Cumberland","Glory Tabernacle Childcare & Learning Center #2","856-451-8646","2½ to 13","115","Fairfield Township","827 E Commerce Street",,"08302","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/06GLO0002.shtml)"
"Atlantic","Robinson Small Learning Center","609-344-2737","0 to 13","66","Atlantic City","715 Baltic Ave",,"08401","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/01ROB0001.shtml)"
"Essex","Montclair Community Pre-K","973-509-4500","2½ to 6","272","Montclair","49 Orange Rd",,"07042","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/07MON0025.shtml)"
"Morris","Loving & Learning Christian Childcare Center, Inc.","973-208-8540","0 to 13","30","Oak Ridge","5669 Berkshire Valley Rd",,"07438","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/14LOV0001.shtml)"
"Union","Little Hearts Learning Center #2","908-755-7555","0 to 13","101","Plainfield","400 Cleveland Ave",,"07061","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/20LIT0004.shtml)"
"Union","Little Hearts Learning Center","908-755-6674","2½ to 13","36","Plainfield","631 E Front Street",,"07060","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/20LIT0002.shtml)"
"Union","Precious Steps Too","908-222-0029","0 to 13","60","Plainfield","516-522 Arlington Avenue",,"07060","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/20TIN0003.shtml)"
"Union","Precious Steps Child Care & Development Center, Inc","908-755-5005","0 to 13","100","Plainfield","20-28 Washington Avenue",,"07060","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/20PRE0007.shtml)"
"Union","Robert Morris School #18 - YMCA After School Program","908-355-9622","6 to 13","67","Elizabeth","860 Cross Ave",,"07208","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/20ROB0001.shtml)"
"Union","Winfield Scott School #2 - YMCA After School Program","908-355-9622","6 to 13","65","Elizabeth","125 Madison Ave",,"07201","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/20WIN0002.shtml)"
"Union","Woodrow Wilson School #19","908-355-9622","6 to 13","74","Elizabeth","529 Edgar Rd",,"07202","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/20WOO0002.shtml)"
"Union","YMCA Child Development Center","908-355-3061","0 to 6","120","Elizabeth","16-20 Jefferson Ave",,"07201","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/20YMC0001.shtml)"
"Union","YMCA Of Eastern Union County - Rahway Branch","732-546-1271","2½ to 13","80","Rahway","486 E Milton Ave","Grover Cleveland School","07065","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/20YMC0008.shtml)"
"Union","YMCA of Eastern Union County - Rahway Branch","908-764-1985","6 to 13","60","Rahway","944 Madison Ave","Madison School","07065","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/20YMC0009.shtml)"
"Union","YMCA of Eastern Union County, Five Points Branch","908-688-9622","0 to 6","128","Union","201 Tucker Ave",,"07083","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/20FIV0003.shtml)"
"Morris","The F M Kirby Children's Center","973-377-4945","0 to 13","335","Madison","54 E Street",,"07940","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/14FMK0002.shtml)"
"Middlesex","Raritan Bay Area YMCA-E.J. Patten School","732-442-3632","6 to 13","200","Perth Amboy","500 Charles Street","E. J. Patten School","08861","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/12RAR0008.shtml)"
"Middlesex","Raritan Bay Area YMCA-Anthony V. Ceres School","732-442-3632","6 to 13","60","Perth Amboy","445 State Street",,"08861","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/12RAR0010.shtml)"
"Middlesex","Raritan Bay Area YMCA-Robert N. Wilentz School","732-442-3632","2½ to 13","180","Perth Amboy","51 First Street",,"08861","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/12RAR0011.shtml)"
"Middlesex","Raritan Bay Area YMCA-James J. Flynn School","732-442-3632","6 to 13","180","Perth Amboy","850 Chamberlain Ave",,"08861","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/12RAR0012.shtml)"
"Middlesex","Raritan Bay Area YMCA-Herbert Richardson School","732-442-3632","6 to 13","300","Perth Amboy","318 Stockton Street",,"08861","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/12RAR0013.shtml)"
"Middlesex","Ignacio Cruz Early Childhood Center","732-442-3632","2½ to 6","180","Perth Amboy","601 Cortlandt Street",,"08861","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/090800282.shtml)"
"Middlesex","Edmund Hmieleski Jr. Early Childhood Center","732-442-3632","2½ to 6","60","Perth Amboy","925 Amboy Avenue",,"08861","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/090800283.shtml)"
"Middlesex","Raritan Bay Area YMCA - Early Learning Center","732-442-3633","2½ to 13","123","Perth Amboy","205 Smith Street",,"08862","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/130600051.shtml)"
"Middlesex","William C. McGinnis Middle School","732-376-6040","6 to 13","180","Perth Amboy","271 State Street",,"08861","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/140900015.shtml)"
"Middlesex","Samuel E. Shull Middle School","732-376-6060","6 to 13","180","Perth Amboy","380 Hall Avenue",,"08851","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/140900014.shtml)"
"Union","The Learning Circle YMCA","908-273-7040","0 to 13","295","Summit","95 Morris Ave",,"07901","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/20LEA0004.shtml)"
"Union","The Berkeley Heights YMCA at Thomas P. Hughes School","908-464-8301","6 to 13","60","Berkeley Heights","446 Snyder Ave",,"07922","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/20LEA0002.shtml)"
"Union","The Berkeley Heights YMCA at William Woodruff School","908-464-8301","6 to 13","60","Berkeley Heights","Briarwood Drive West",,"07922","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/20LEA0003.shtml)"
"Union","The Berkeley Heights YMCA At Mountain Park","908-738-2147","6 to 13","40","Berkeley Heights","55 Fairfax Dr",,"07922","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/20LEA0001.shtml)"
"Union","The Berkeley Heights YMCA at Allen W. Roberts School","908-464-8301","6 to 13","60","New Providence","80 Jones Dr",,"07974","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/20LEA0011.shtml)"
"Union","Summit Area YMCA at Saltbrook","908-251-8343","6 to 13","45","New Providence","40 Maple Street",,"07974","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/20LEA0012.shtml)"
"Union","Summit YMCA School Age Program","908-273-3330","6 to 13","88","Summit","67 Maple Street",,"07901","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/20SUM0012.shtml)"
"Union","YMCA-Berkeley Heights","908-464-8373","2½ to 13","89","Berkeley Heights","550 Springfield Ave",,"07922","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/20YMC0003.shtml)"
"Union","Tamaques Elementary School","908-966-6028","6 to 13","50","Westfield","641 Willow Grove Rd",,"07090","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/20TAM0001.shtml)"
"Union","Westfield Area Y SACC","908-233-2700","2½ to 13","159","Westfield","220 Clark Street",,"07090-4097","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/20WES0004.shtml)"
"Union","Westfield ""Y"" Children's Center","908-654-8460","0 to 6","128","Westfield","170 Elm Street",,"07090","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/20WES0010.shtml)"
"Union","Westfield Y/Washington School","908-233-2700","6 to 13","30","Westfield","900 Saint Marks Ave",,"07090","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/20WES0015.shtml)"
"Union","Westfield ""Y"" McKinley School","908-966-5897","6 to 13","30","Westfield","500 First Street",,"07090","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/20WES0018.shtml)"
"Union","Westfield Y at Jefferson School","908-233-2700","6 to 13","50","Westfield","1200 Boulvard",,"07090","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/20WES0020.shtml)"
"Union","Westfield Area Y Preschool","908-233-2700","2½ to 13","100","Westfield","422 E Broad Street",,"07090","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/20WES0021.shtml)"
"Union","Westfield Area Y - Wilson Key Program","908-233-2700","6 to 13","50","Westfield","301 Linden Ave",,"07090","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/20WES0022.shtml)"
"Union","Westfield Area Y ASP at Lincoln School in Westfield","908-232-5236","6 to 13","40","Westfield","728 Westfield Avenue","Lincoln School","07090","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/090800284.shtml)"
"Union","Westfield Area Y - Deerfield Afterschool","908-232-8828","6 to 13","57","Mountainside","304 Central Avenue",,"07092","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/110700124.shtml)"
"Union","Westfield Area Y - Beechwood Afterschool","908-623-9280","6 to 13","54","Mountainside","1497 Woodacres Drive",,"07092","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/110700125.shtml)"
"Union","Y Childcare in Garwood","908-301-1616","2½ to 13","130","Garwood","500 East Street",,"07027","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/080800118.shtml)"
"Somerset","The Tree House Child Caring Center","908-221-1619","0 to 13","175","Basking Ridge","1 E Oak Street & 12 East Allen",,"07920","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/18TRE0001.shtml)"
"Morris","Project Safe East Dover","862-505-9285","6 to 13","91","Dover","302 East Mcfarland Street",,"07801","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/070704629.shtml)"
"Morris","Project Safe After School Program","973-989-4495","6 to 13","85","Dover","51 Highland Ave","North Dover School","07801","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/14PRO0001.shtml)"
"Morris","Project Safe After School Program","973-361-9296","6 to 13","100","Dover","14 Academy Street","Academy Street School","07801","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/14PRO0002.shtml)"
"Union","Saint Paul's Day School","908-233-5417","2 to 6","159","Westfield","414 E Broad Street",,"07090","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/20SAI0003.shtml)"
"Essex","Montclair YMCA(Hillside)School-age Child Care","973-509-9641","6 to 13","72","Montclair","54 Orange Rd","Hillside School","07042","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/07MON0017.shtml)"
"Essex","Montclair YMCA(Edgemont)School-age Child Care","973-509-6089","6 to 13","100","Montclair","20 Edgemont Rd","Edgemont School","07042","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/07MON0018.shtml)"
"Essex","Montclair YMCA(Bradford)School-age Child Care","973-509-4159","6 to 13","100","Montclair","87 Mt. Hebron Rd","Bradford School","07043","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/07MON0020.shtml)"
"Essex","Montclair YMCA(Nishuane)School-age Child Care","973-509-8386","6 to 13","168","Montclair","32 Cedar Ave","Nishuane School","07042","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/07MON0021.shtml)"
"Essex","Montclair YMCA(Watchung)School-age Child Care","973-655-9758","6 to 13","100","Montclair","14 Garden Street","Watchung School","07042","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/07MON0023.shtml)"
