SCHOOL_YEAR,FIPST,STATENAME,ST,SCH_NAME,STATE_AGENCY_NO,UNION,ST_LEAID,LEAID,ST_SCHID,NCESSCH,SCHID,GRADE,RACE_ETHNICITY,SEX,STUDENT_COUNT,TOTAL_INDICATOR,DMS_FLAG
2018-2019,21,KENTUCKY,KY,Flat Lick Elementary School,01,,KY-061301000,2103150,KY-061301000-061301240,210315000843,2100843,Pre-Kindergarten,No Category Codes,No Category Codes,16,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Girdler Elementary School,01,,KY-061301000,2103150,KY-061301000-061301260,210315000844,2100844,Pre-Kindergarten,No Category Codes,No Category Codes,26,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,G R Hampton Elementary School,01,,KY-061301000,2103150,KY-061301000-061301320,210315000846,2100846,Pre-Kindergarten,No Category Codes,No Category Codes,33,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Jesse D Lay Elementary School,01,,KY-061301000,2103150,KY-061301000-061301430,210315000848,2100848,Pre-Kindergarten,No Category Codes,No Category Codes,42,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Lynn Camp Schools,01,,KY-061301000,2103150,KY-061301000-061301450,210315000850,2100850,Pre-Kindergarten,No Category Codes,No Category Codes,58,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Central Elementary School,01,,KY-061301000,2103150,KY-061301000-061301071,210315002235,2102235,Pre-Kindergarten,No Category Codes,No Category Codes,19,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Hodgenville Elementary School,01,,KY-062305000,2103180,KY-062305000-062305030,210318000852,2100852,Pre-Kindergarten,No Category Codes,No Category Codes,21,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Abraham Lincoln Elementary School,01,,KY-062305000,2103180,KY-062305000-062305015,210318002044,2102044,Pre-Kindergarten,No Category Codes,No Category Codes,17,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Hunter Hills Elementary School,01,,KY-063311000,2103210,KY-063311000-063311175,210321000715,2100715,Pre-Kindergarten,No Category Codes,No Category Codes,40,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,London Elementary School,01,,KY-063311000,2103210,KY-063311000-063311010,210321000856,2100856,Pre-Kindergarten,No Category Codes,No Category Codes,39,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Bush Elementary School,01,,KY-063311000,2103210,KY-063311000-063311030,210321000857,2100857,Pre-Kindergarten,No Category Codes,No Category Codes,36,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Camp Ground Elementary School,01,,KY-063311000,2103210,KY-063311000-063311055,210321000859,2100859,Pre-Kindergarten,No Category Codes,No Category Codes,20,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Colony Elementary School,01,,KY-063311000,2103210,KY-063311000-063311070,210321000860,2100860,Pre-Kindergarten,No Category Codes,No Category Codes,19,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Hazel Green Elementary School,01,,KY-063311000,2103210,KY-063311000-063311130,210321000862,2100862,Pre-Kindergarten,No Category Codes,No Category Codes,16,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Johnson Elementary School,01,,KY-063311000,2103210,KY-063311000-063311165,210321000863,2100863,Pre-Kindergarten,No Category Codes,No Category Codes,11,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Keavy Elementary School,01,,KY-063311000,2103210,KY-063311000-063311180,210321000864,2100864,Pre-Kindergarten,No Category Codes,No Category Codes,20,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Sublimity Elementary School,01,,KY-063311000,2103210,KY-063311000-063311420,210321000869,2100869,Pre-Kindergarten,No Category Codes,No Category Codes,19,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Cold Hill Elementary School,01,,KY-063311000,2103210,KY-063311000-063311430,210321001483,2101483,Pre-Kindergarten,No Category Codes,No Category Codes,17,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Wyan-Pine Grove Elementary,01,,KY-063311000,2103210,KY-063311000-063311018,210321002030,2102030,Pre-Kindergarten,No Category Codes,No Category Codes,35,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Blaine Elementary School,01,,KY-064315000,2103240,KY-064315000-064315030,210324000870,2100870,Pre-Kindergarten,No Category Codes,No Category Codes,17,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Fallsburg Elementary School,01,,KY-064315000,2103240,KY-064315000-064315150,210324000871,2100871,Pre-Kindergarten,No Category Codes,No Category Codes,14,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Louisa West Elementary School,01,,KY-064315000,2103240,KY-064315000-064315021,210324002155,2102155,Pre-Kindergarten,No Category Codes,No Category Codes,88,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Lee County Elementary School,01,,KY-065321000,2103270,KY-065321000-065321100,210327000216,2100216,Pre-Kindergarten,No Category Codes,No Category Codes,15,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Hayes Lewis Elementary School,01,,KY-066325000,2103330,KY-066325000-066325280,210333000882,2100882,Pre-Kindergarten,No Category Codes,No Category Codes,17,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Mountain View Elementary,01,,KY-066325000,2103330,KY-066325000-066325300,210333000883,2100883,Pre-Kindergarten,No Category Codes,No Category Codes,50,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,W B Muncy Elementary School,01,,KY-066325000,2103330,KY-066325000-066325420,210333000886,2100886,Pre-Kindergarten,No Category Codes,No Category Codes,20,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Stinnett Elementary School,01,,KY-066325000,2103330,KY-066325000-066325570,210333000887,2100887,Pre-Kindergarten,No Category Codes,No Category Codes,31,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Cowan Elementary School,01,,KY-067331000,2103360,KY-067331000-067331380,210336000900,2100900,Pre-Kindergarten,No Category Codes,No Category Codes,2,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,West Whitesburg Elementary School,01,,KY-067331000,2103360,KY-067331000-067331650,210336000903,2100903,Pre-Kindergarten,No Category Codes,No Category Codes,51,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Garrison Elementary School,01,,KY-068335000,2103390,KY-068335000-068335040,210339000906,2100906,Pre-Kindergarten,No Category Codes,No Category Codes,21,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Laurel Elementary School,01,,KY-068335000,2103390,KY-068335000-068335090,210339000908,2100908,Pre-Kindergarten,No Category Codes,No Category Codes,13,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Lewis County Central Elementary School,01,,KY-068335000,2103390,KY-068335000-068335095,210339000909,2100909,Pre-Kindergarten,No Category Codes,No Category Codes,28,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Tollesboro Elementary School,01,,KY-068335000,2103390,KY-068335000-068335140,210339000911,2100911,Pre-Kindergarten,No Category Codes,No Category Codes,16,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Crab Orchard Elementary School,01,,KY-069341000,2103480,KY-069341000-069341040,210348000914,2100914,Pre-Kindergarten,No Category Codes,No Category Codes,36,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Highland Elementary School,01,,KY-069341000,2103480,KY-069341000-069341050,210348000915,2100915,Pre-Kindergarten,No Category Codes,No Category Codes,18,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Hustonville Elementary School,01,,KY-069341000,2103480,KY-069341000-069341070,210348000916,2100916,Pre-Kindergarten,No Category Codes,No Category Codes,19,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,McKinney Elementary School,01,,KY-069341000,2103480,KY-069341000-069341100,210348000919,2100919,Pre-Kindergarten,No Category Codes,No Category Codes,17,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Stanford Elementary School,01,,KY-069341000,2103480,KY-069341000-069341130,210348000920,2100920,Pre-Kindergarten,No Category Codes,No Category Codes,106,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Waynesburg Elementary School,01,,KY-069341000,2103480,KY-069341000-069341150,210348000921,2100921,Pre-Kindergarten,No Category Codes,No Category Codes,35,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,North Livingston Elementary School,01,,KY-070345000,2103510,KY-070345000-070345020,210351001133,2101133,Pre-Kindergarten,No Category Codes,No Category Codes,22,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,South Livingston Elementary School,01,,KY-070345000,2103510,KY-070345000-070345021,210351001999,2101999,Pre-Kindergarten,No Category Codes,No Category Codes,44,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Adairville Elementary School,01,,KY-071351000,2103540,KY-071351000-071351011,210354001542,2101542,Pre-Kindergarten,No Category Codes,No Category Codes,28,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Auburn Elementary School,01,,KY-071351000,2103540,KY-071351000-071351012,210354001543,2101543,Pre-Kindergarten,No Category Codes,No Category Codes,65,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Chandlers Elementary School,01,,KY-071351000,2103540,KY-071351000-071351013,210354001544,2101544,Pre-Kindergarten,No Category Codes,No Category Codes,24,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Lewisburg Elementary School,01,,KY-071351000,2103540,KY-071351000-071351014,210354001545,2101545,Pre-Kindergarten,No Category Codes,No Category Codes,36,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Olmstead Elementary School,01,,KY-071351000,2103540,KY-071351000-071351016,210354001546,2101546,Pre-Kindergarten,No Category Codes,No Category Codes,30,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Mary A. Goetz Elementary School,01,,KY-059354000,2103630,KY-059354000-059354010,210363000938,2100938,Pre-Kindergarten,No Category Codes,No Category Codes,38,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Lyon County Elementary School,01,,KY-072361000,2103690,KY-072361000-072361020,210369000942,2100942,Pre-Kindergarten,No Category Codes,No Category Codes,62,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Kingston Elementary School,01,,KY-073365000,2103720,KY-073365000-073365030,210372000946,2100946,Pre-Kindergarten,No Category Codes,No Category Codes,31,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Kirksville Elementary School,01,,KY-073365000,2103720,KY-073365000-073365040,210372000947,2100947,Pre-Kindergarten,No Category Codes,No Category Codes,24,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Silver Creek Elementary School,01,,KY-073365000,2103720,KY-073365000-073365100,210372000950,2100950,Pre-Kindergarten,No Category Codes,No Category Codes,35,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Waco Elementary School,01,,KY-073365000,2103720,KY-073365000-073365120,210372000951,2100951,Pre-Kindergarten,No Category Codes,No Category Codes,29,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Model Laboratory Elementary School,01,,KY-073365000,2103720,KY-073365000-073365450,210372001485,2101485,Pre-Kindergarten,No Category Codes,No Category Codes,20,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Shannon Johnson Elementary School,01,,KY-073365000,2103720,KY-073365000-073365007,210372001901,2101901,Pre-Kindergarten,No Category Codes,No Category Codes,27,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Madison Kindergarten Academy,01,,KY-073365000,2103720,KY-073365000-073365110,210372002392,2102392,Pre-Kindergarten,No Category Codes,No Category Codes,50,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Boonesborough Elementary,01,,KY-073365000,2103720,KY-073365000-073365008,210372002481,2102481,Pre-Kindergarten,No Category Codes,No Category Codes,35,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Salyersville Grade School,01,,KY-074371000,2103750,KY-074371000-074371360,210375000958,2100958,Pre-Kindergarten,No Category Codes,No Category Codes,60,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,South Magoffin Elementary,01,,KY-074371000,2103750,KY-074371000-074371173,210375002227,2102227,Pre-Kindergarten,No Category Codes,No Category Codes,20,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,North Magoffin Elementary,01,,KY-074371000,2103750,KY-074371000-074371172,210375002238,2102238,Pre-Kindergarten,No Category Codes,No Category Codes,56,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Glasscock Elementary School,01,,KY-075375000,2103780,KY-075375000-075375040,210378000963,2100963,Pre-Kindergarten,No Category Codes,No Category Codes,57,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Lebanon Elementary School,01,,KY-075375000,2103780,KY-075375000-075375210,210378000967,2100967,Pre-Kindergarten,No Category Codes,No Category Codes,38,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,West Marion Elementary School,01,,KY-075375000,2103780,KY-075375000-075375100,210378001619,2101619,Pre-Kindergarten,No Category Codes,No Category Codes,31,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Central Elementary School,01,,KY-076381000,2103810,KY-076381000-076381010,210381000272,2100272,Pre-Kindergarten,No Category Codes,No Category Codes,34,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Benton Elementary School,01,,KY-076381000,2103810,KY-076381000-076381011,210381000971,2100971,Pre-Kindergarten,No Category Codes,No Category Codes,49,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Calvert City Elementary School,01,,KY-076381000,2103810,KY-076381000-076381040,210381000973,2100973,Pre-Kindergarten,No Category Codes,No Category Codes,31,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Jonathan Elementary School,01,,KY-076381000,2103810,KY-076381000-076381085,210381000975,2100975,Pre-Kindergarten,No Category Codes,No Category Codes,27,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Sharpe Elementary School,01,,KY-076381000,2103810,KY-076381000-076381100,210381000978,2100978,Pre-Kindergarten,No Category Codes,No Category Codes,24,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,South Marshall Elementary School,01,,KY-076381000,2103810,KY-076381000-076381105,210381000979,2100979,Pre-Kindergarten,No Category Codes,No Category Codes,27,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Inez Elementary School,01,,KY-077385000,2103840,KY-077385000-077385120,210384000982,2100982,Pre-Kindergarten,No Category Codes,No Category Codes,22,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Warfield Elementary School,01,,KY-077385000,2103840,KY-077385000-077385300,210384000988,2100988,Pre-Kindergarten,No Category Codes,No Category Codes,33,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Eden Elementary School,01,,KY-077385000,2103840,KY-077385000-077385051,210384001902,2101902,Pre-Kindergarten,No Category Codes,No Category Codes,61,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Charles Straub Elementary School,01,,KY-078391000,2103870,KY-078391000-078391080,210387001460,2101460,Pre-Kindergarten,No Category Codes,No Category Codes,116,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Mayfield Elementary School,01,,KY-042392000,2103900,KY-042392000-042392031,210390002001,2102001,Pre-Kindergarten,No Category Codes,No Category Codes,172,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Concord Elementary School,01,,KY-079395000,2103960,KY-079395000-079395010,210396001001,2101001,Pre-Kindergarten,No Category Codes,No Category Codes,48,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Lone Oak Elementary School,01,,KY-079395000,2103960,KY-079395000-079395080,210396001009,2101009,Pre-Kindergarten,No Category Codes,No Category Codes,39,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Reidland Elementary School,01,,KY-079395000,2103960,KY-079395000-079395100,210396001011,2101011,Pre-Kindergarten,No Category Codes,No Category Codes,81,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Hendron Lone Oak Elementary School,01,,KY-079395000,2103960,KY-079395000-079395065,210396001431,2101431,Pre-Kindergarten,No Category Codes,No Category Codes,66,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Heath Elementary School,01,,KY-079395000,2103960,KY-079395000-079395120,210396001461,2101461,Pre-Kindergarten,No Category Codes,No Category Codes,36,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,McCreary County Preschool South,01,,KY-080401000,2103990,KY-080401000-080401011,210399001548,2101548,Pre-Kindergarten,No Category Codes,No Category Codes,79,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,McCreary County Preschool North,01,,KY-080401000,2103990,KY-080401000-080401017,210399002437,2102437,Pre-Kindergarten,No Category Codes,No Category Codes,61,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Calhoun Elementary School,01,,KY-081405000,2104020,KY-081405000-081405020,210402001023,2101023,Pre-Kindergarten,No Category Codes,No Category Codes,29,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Livermore Elementary School,01,,KY-081405000,2104020,KY-081405000-081405050,210402001025,2101025,Pre-Kindergarten,No Category Codes,No Category Codes,38,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Marie Gatton Phillips Elementary,01,,KY-081405000,2104020,KY-081405000-081405070,210402001027,2101027,Pre-Kindergarten,No Category Codes,No Category Codes,15,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Brandenburg Primary School,01,,KY-082411000,2104050,KY-082411000-082411060,210405001034,2101034,Pre-Kindergarten,No Category Codes,No Category Codes,129,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Botts Elementary School,01,,KY-083415000,2104080,KY-083415000-083415020,210408001038,2101038,Pre-Kindergarten,No Category Codes,No Category Codes,4,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Menifee Elementary School,01,,KY-083415000,2104080,KY-083415000-083415080,210408001039,2101039,Pre-Kindergarten,No Category Codes,No Category Codes,3,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Mercer County Elementary School,01,,KY-084421000,2104110,KY-084421000-084421070,210411001042,2101042,Pre-Kindergarten,No Category Codes,No Category Codes,142,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Metcalfe County Elementary School,01,,KY-085425000,2104140,KY-085425000-085425060,210414002383,2102383,Pre-Kindergarten,No Category Codes,No Category Codes,87,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Middlesboro Elementary School,01,,KY-007426000,2104170,KY-007426000-007426030,210417001048,2101048,Pre-Kindergarten,No Category Codes,No Category Codes,91,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Gamaliel Elementary,01,,KY-086431000,2104200,KY-086431000-086431150,210420001052,2101052,Pre-Kindergarten,No Category Codes,No Category Codes,18,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Joe Harrison Carter,01,,KY-086431000,2104200,KY-086431000-086431212,210420001054,2101054,Pre-Kindergarten,No Category Codes,No Category Codes,14,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Tompkinsville Elem,01,,KY-086431000,2104200,KY-086431000-086431440,210420001055,2101055,Pre-Kindergarten,No Category Codes,No Category Codes,36,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Camargo Elementary School,01,,KY-087435000,2104250,KY-087435000-087435010,210425001057,2101057,Pre-Kindergarten,No Category Codes,No Category Codes,68,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Mapleton Elementary School,01,,KY-087435000,2104250,KY-087435000-087435030,210425001058,2101058,Pre-Kindergarten,No Category Codes,No Category Codes,32,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Mount Sterling Elementary School,01,,KY-087435000,2104250,KY-087435000-087435050,210425001060,2101060,Pre-Kindergarten,No Category Codes,No Category Codes,46,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Northview Elementary,01,,KY-087435000,2104250,KY-087435000-087435025,210425002472,2102472,Pre-Kindergarten,No Category Codes,No Category Codes,61,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Morgan Central Elementary School,01,,KY-088441000,2104290,KY-088441000-088441015,210429002194,2102194,Pre-Kindergarten,No Category Codes,No Category Codes,13,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Wrigley Elementary School,01,,KY-088441000,2104290,KY-088441000-088441018,210429002214,2102214,Pre-Kindergarten,No Category Codes,No Category Codes,18,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Murray Preschool Head Start,01,,KY-018446000,2104380,KY-018446000-018446075,210438000933,2100933,Pre-Kindergarten,No Category Codes,No Category Codes,88,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Murray Elementary School,01,,KY-018446000,2104380,KY-018446000-018446020,210438001084,2101084,Pre-Kindergarten,No Category Codes,No Category Codes,30,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Nelson County Early Learning Center,01,,KY-090451000,2104410,KY-090451000-090451071,210441002261,2102261,Pre-Kindergarten,No Category Codes,No Category Codes,268,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Newport Primary School,01,,KY-019452000,2104440,KY-019452000-019452020,210444001099,2101099,Pre-Kindergarten,No Category Codes,No Category Codes,59,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Nicholas County Elementary School,01,,KY-091455000,2104470,KY-091455000-091455020,210447001106,2101106,Pre-Kindergarten,No Category Codes,No Category Codes,91,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Beaver Dam Elementary School,01,,KY-092461000,2104500,KY-092461000-092461010,210450001108,2101108,Pre-Kindergarten,No Category Codes,No Category Codes,43,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Fordsville Elementary School,01,,KY-092461000,2104500,KY-092461000-092461090,210450001112,2101112,Pre-Kindergarten,No Category Codes,No Category Codes,28,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Horse Branch Elementary School,01,,KY-092461000,2104500,KY-092461000-092461140,210450001115,2101115,Pre-Kindergarten,No Category Codes,No Category Codes,17,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Southern Elementary School,01,,KY-092461000,2104500,KY-092461000-092461170,210450001118,2101118,Pre-Kindergarten,No Category Codes,No Category Codes,30,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Wayland Alexander Elementary School,01,,KY-092461000,2104500,KY-092461000-092461190,210450001119,2101119,Pre-Kindergarten,No Category Codes,No Category Codes,54,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Western Elementary School,01,,KY-092461000,2104500,KY-092461000-092461200,210450001120,2101120,Pre-Kindergarten,No Category Codes,No Category Codes,21,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Oldham County Preschool,01,,KY-093465000,2104530,KY-093465000-093465100,210453000736,2100736,Pre-Kindergarten,No Category Codes,No Category Codes,199,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Owen County Elementary/Primary School,01,,KY-094471000,2104560,KY-094471000-094471075,210456001127,2101127,Pre-Kindergarten,No Category Codes,No Category Codes,82,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Estes Elementary School,01,,KY-030472000,2104590,KY-030472000-030472030,210459001130,2101130,Pre-Kindergarten,No Category Codes,No Category Codes,20,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Hager Preschool,01,,KY-030472000,2104590,KY-030472000-030472180,210459001685,2101685,Pre-Kindergarten,No Category Codes,No Category Codes,190,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Owsley County Elementary School,01,,KY-095475000,2104620,KY-095475000-095475020,210462001142,2101142,Pre-Kindergarten,No Category Codes,No Category Codes,122,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Paducah Head Start Preschool,01,,KY-079476000,2104650,KY-079476000-079476015,210465001571,2101571,Pre-Kindergarten,No Category Codes,No Category Codes,273,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Paintsville Elementary School,01,,KY-058477000,2104680,KY-058477000-058477010,210468001155,2101155,Pre-Kindergarten,No Category Codes,No Category Codes,41,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Paris Preschool Center,01,,KY-009478000,2104710,KY-009478000-009478040,210471002226,2102226,Pre-Kindergarten,No Category Codes,No Category Codes,38,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Northern Elementary School,01,,KY-096481000,2104740,KY-096481000-096481060,210474001160,2101160,Pre-Kindergarten,No Category Codes,No Category Codes,43,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Southern Elementary School,01,,KY-096481000,2104740,KY-096481000-096481080,210474001163,2101163,Pre-Kindergarten,No Category Codes,No Category Codes,49,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Robert W Combs Elementary School,01,,KY-097485000,2104770,KY-097485000-097485635,210477001174,2101174,Pre-Kindergarten,No Category Codes,No Category Codes,35,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Robinson Elementary School,01,,KY-097485000,2104770,KY-097485000-097485640,210477001175,2101175,Pre-Kindergarten,No Category Codes,No Category Codes,32,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Viper Elementary School,01,,KY-097485000,2104770,KY-097485000-097485890,210477001177,2101177,Pre-Kindergarten,No Category Codes,No Category Codes,31,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,East Perry County Elementary School,01,,KY-097485000,2104770,KY-097485000-097485200,210477002354,2102354,Pre-Kindergarten,No Category Codes,No Category Codes,69,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,West Perry Elementary School,01,,KY-097485000,2104770,KY-097485000-097485898,210477002453,2102453,Pre-Kindergarten,No Category Codes,No Category Codes,61,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Bevins Elementary School,01,,KY-098491000,2104800,KY-098491000-098491130,210480001180,2101180,Pre-Kindergarten,No Category Codes,No Category Codes,35,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Dorton Elementary School,01,,KY-098491000,2104800,KY-098491000-098491250,210480001183,2101183,Pre-Kindergarten,No Category Codes,No Category Codes,20,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Elkhorn City Elementary School,01,,KY-098491000,2104800,KY-098491000-098491300,210480001185,2101185,Pre-Kindergarten,No Category Codes,No Category Codes,40,Subtotal 4 - By Grade,Reported
