County,Name,Licensee_Owner,Director,Location_Street1,Location_Street_2,Location_City,Location_State,Location_Zip,Location_Zip_Updated,Latitude,Longitude,Capacity,Age_Range_of_Service,ObjectId
JEFFERSON,Kinder Care Learning Center #420,Kindercare Learning Centers Llc,"Dotson, Ashley Nicole",730 Zorn Avenue,,Louisville,KY,40206,40206,38.268288,-85.69202,136,INFANT TO TWO_TO_SCHOOL,555
JEFFERSON,Ridgewood Child Development Center,"Ridgewood Baptist Church, Inc.","Ploetner, Christina Jean",6209 Greenwood Road,,Louisville,KY,40258,40258,38.145501,-85.867581,99,INFANT TO SCHOOL_AGE,556
JEFFERSON,St. Benedict Center for Early Childhood Education,"St. Benedict Center For Early Childhood Education, Inc.","Alfred, Felicia Lynn",946 South 25th Street,,Louisville,KY,40210,40210,38.24325,-85.79379,160,INFANT TO SCHOOL_AGE,557
JEFFERSON,Valley View Child Development Center,"Valley View Baptist Church, Incorporated","Bowman, Vicke Arlean",8911 Third Street Road,,Louisville,KY,40272,40272,38.116467,-85.8143,200,INFANT TO SCHOOL_AGE,558
JEFFERSON,WesKids Child Development Center,Wesley House Community Services Inc.,"Mohedano, Suzel",5114 Preston Highway,,Louisville,KY,40213,40213,38.17406,-85.71214,91,INFANT TO SCHOOL_AGE,559
JEFFERSON,Our House Preschool & Child Care,"Our House Pre-school & Child Care, Inc.","Kratz, Doris Jane",4310 Billtown Road,,Louisville,KY,40299,40299,38.182247,-85.57115,49,TODDLER TO SCHOOL_AGE,560
JEFFERSON,Highlands Community Ministries - Eastern Star,"Highlands Community Ministries, Inc.","Smith, Deborah L",917 Eastern Star Court,,Louisville,KY,40204,40204,38.24268,-85.72326,99,INFANT TO TWO_TO_SCHOOL,561
JEFFERSON,Bassett's Day Care,Bonnie Lee Bassett,"Bassett, Bonnie Lee",902 Girard Drive,,Louisville,KY,40222,40222,38.262641,-85.614482,12,INFANT TO SCHOOL_AGE,562
JEFFERSON,Westport Road Bible Preschool,"Westport Road Church Of Christ, Inc.","Williams, Kimberly Ann",4500 Westport Road,,Louisville,KY,40207,40207,38.263308,-85.626931,44,TWO_TO_SCHOOL,563
JEFFERSON,Temple Trager Early Childhood Education Center,"The Temple Congregation Adath Israel-B'rith Sholom, Inc.","Roemer, Alison ",5101 U.S. Highway 42,,Louisville,KY,40241,40241,38.289083,-85.629618,195,INFANT TO SCHOOL_AGE,564
JEFFERSON,Friends School,"Friends School, Inc.","Christensen, Kristina Rebecca",901 Breckenridge Lane,,Louisville,KY,40207,40207,38.238531,-85.642828,136,INFANT TO SCHOOL_AGE,565
JEFFERSON,Whitefield Academy Preschool,"Whitefield Academy, Incorporated","Hammond, Lisa Marie",7711 Fegenbush Lane,,Louisville,KY,40228,40228,38.140553,-85.617643,278,TODDLER TO SCHOOL_AGE,566
JEFFERSON,Johnson's Day Care,"Johnson Day Care, Inc.","Mattingly, Amanda Marie",5533 Bruce Avenue,,Louisville,KY,40214,40214,38.145733,-85.78216,58,INFANT TO SCHOOL_AGE,567
JEFFERSON,Summit Heights Parents Out Program,"Summit Heights United Methodist Church, Inc.","Forns, Diana",7400 Outer Loop,,Louisville,KY,40228,40228,38.137444,-85.620964,160,INFANT TO TWO_TO_SCHOOL,568
JEFFERSON,Wee Care Nursery,"Wee-care Nursery, Inc.","Reisert, Melissa Ann",11616 Main Street,,Louisville,KY,40243,40243,38.245674,-85.5383,100,INFANT TO SCHOOL_AGE,569
JEFFERSON,St. Joseph Child Development Center,St. Joseph Catholic Orphan Society,"Manning, April Marie",2823 Frankfort Avenue,,Louisville,KY,40206,40206,38.254753,-85.690254,283,INFANT TO TWO_TO_SCHOOL,570
JEFFERSON,Kenwood Montessori Preschool,"Kenwood Montessori Preschool, Ltd.","Herman, Jana M. ",770 Eastern Parkway,,Louisville,KY,40217,40217,38.213403,-85.744223,94,TODDLER TO TWO_TO_SCHOOL,571
JEFFERSON,Kiddie Kampus Day Care,Poplar Level Church Of God,"Brown, Kathy Lynn",3685 Poplar Level Road,,Louisville,KY,40213,40213,38.207749,-85.714707,75,INFANT TO SCHOOL_AGE,572
JEFFERSON,Baptist Health Louisville Child Development Center,"Baptist Healthcare System, Inc.","Thomas, Rebecca Sue",4000 Kresge Way,,Louisville,KY,40207,40207,38.239597,-85.63816,130,INFANT TO TWO_TO_SCHOOL,573
JEFFERSON,Adath Jeshurun Preschool,Congregation Adath Jeshurun,"Gambrell, Sara Elizabeth",2401 Woodbourne Avenue,,Louisville,KY,40205,40205,38.227684,-85.68422,173,INFANT TO TWO_TO_SCHOOL,574
JEFFERSON,Southwest Christian Academy & Child Care Center,"Southwest Christian Academy, Llc","Sykes, Rose",5000 Valley Station Road,,Louisville,KY,40272,40272,38.105576,-85.8546,80,INFANT TO SCHOOL_AGE,575
JEFFERSON,Holy Spirit Child Care,Church Of The Holy Spirit,"Campisano, Amber Nicole",3308 Richard Avenue,,Louisville,KY,40206,40206,38.2511,-85.67004,165,TWO_TO_SCHOOL TO SCHOOL_AGE,576
JEFFERSON,St. Matthews Area Ministries Child Development Program,"St. Matthews Area Ministries, Inc.","Bohn, Natalie Collette",8025 New La Grange Road,,Louisville,KY,40222-4707,40222,38.258082,-85.604858,122,INFANT TO TWO_TO_SCHOOL,577
JEFFERSON,Kids & Fun,"Kids & Fun, Llc","Conn, Deborah Gail",105 Buechel Terrace,,Louisville,KY,40218,40218,38.18836,-85.639915,80,INFANT TO SCHOOL_AGE,578
JEFFERSON,Lowe Elementary Childcare Enrichment Program,The Young Mens Christian Association Of Greater Louisville,"Davis, Karen Michelle",210 Oxfordshire Lane,,Louisville,KY,40222,40222,38.245266,-85.59114,105,TWO_TO_SCHOOL TO SCHOOL_AGE,579
JEFFERSON,Wilder Elementary YMCA SACC,The Young Mens Christian Association Of Greater Louisville,"Lee, Chaelyn Nicole",1913 Herr Lane,,Louisville,KY,40222,40222,38.279347,-85.621632,218,TWO_TO_SCHOOL TO SCHOOL_AGE,580
JEFFERSON,Goldsmith Elementary Childcare Enrichment Program,The Young Mens Christian Association Of Greater Louisville,"Graybeal, Mary D.",3520 Goldsmith Lane,,Louisville,KY,40220,40220,38.20965,-85.653656,80,TWO_TO_SCHOOL TO SCHOOL_AGE,581
JEFFERSON,La Petite Academy,"La Petite Academy, Inc.","Motsinger, Shalla Lynette",10501 Timberwood Circle,,Louisville,KY,40223,40223,38.233887,-85.57107,94,INFANT TO SCHOOL_AGE,582
JEFFERSON,Brown School Childcare Enrichment Program,The Young Mens Christian Association Of Greater Louisville,"Jones, Jeremy Rashad",546 South First Street,,Louisville,KY,40202,40202,38.249554,-85.752716,99,TWO_TO_SCHOOL TO SCHOOL_AGE,583
JEFFERSON,Chenoweth Elementary Childcare Enrichment Program,The Young Mens Christian Association Of Greater Louisville,"Taylor, Benjamin Richard",3622 Brownsboro Road,,Louisville,KY,40207,40207,38.26521,-85.66819,90,TWO_TO_SCHOOL TO SCHOOL_AGE,584
JEFFERSON,Marilyn's Preschool Child Care,Marilyn Calbert,"Calbert, Marilyn",3915 Northumberland Drive,,Louisville,KY,40245,40245,38.309685,-85.523766,12,TODDLER TO SCHOOL_AGE,585
JEFFERSON,YMCA SACC Olmsted South Middle,The Young Mens Christian Association Of Greater Louisville,"Jones, Jeremy Rashad",5650 Southern Parkway,,Louisville,KY,40214,40214,38.17174,-85.77864,99,SCHOOL_AGE,586
JEFFERSON,Tully Elementary Childcare Enrichment Program,The Young Mens Christian Association Of Greater Louisville,"Hicks, Terralynn Denise",3300 College Drive,,Louisville,KY,40299,40299,38.196293,-85.57032,150,TWO_TO_SCHOOL TO SCHOOL_AGE,587
JEFFERSON,Beth Haven Child Development Center,"Beth Haven Baptist Church, Inc.","Sharp, Melissa Kay",5515 Johnsontown Road,,Louisville,KY,40272,40272,38.12163,-85.87139,227,INFANT TO SCHOOL_AGE,588
JEFFERSON,Lots of Tots Day Care,"Lots Of Tots Daycare Center, Inc.","Conder, Cindy Lynette",2901 Pindell Avenue,,Louisville,KY,40217,40217,38.21047,-85.73118,12,TWO_TO_SCHOOL TO SCHOOL_AGE,589
JEFFERSON,Southwest YMCA Child Care Center,The Young Mens Christian Association Of Greater Louisville,"Metcalf, Megan Nicole",2801 Fordhaven Road,,Louisville,KY,40214,40214,38.148643,-85.812225,118,INFANT TO SCHOOL_AGE,590
JEFFERSON,La Petite Academy,"La Petite Academy, Inc.","Arnold, Alison Re'Anne",9505 U.S. Highway 42,,Prospect,KY,40059,40059,38.342581,-85.617497,106,INFANT TO SCHOOL_AGE,591
JEFFERSON,Kids Academy I,"Kid-s-kastle Child Care And Development Center, Inc.","Scott, Rebecca Ann",5121 Mile Of Sunshine Drive,,Louisville,KY,40219,40219,38.15084,-85.660774,162,INFANT TO SCHOOL_AGE,592
JEFFERSON,First Kids Early Childhood & School Age Care,"First Christian Church Of Louisville, Kentucky, Inc.","McCune, Debbie N.",7700 U.S. Highway 42,,Louisville,KY,40241,40241,38.320952,-85.622727,127,INFANT TO SCHOOL_AGE,593
JEFFERSON,Mosaic United Methodist Church Child Development Center,"Mosaic United Methodist Church, Inc.","Perryman, Theresa Elaine",8008 St. Andrews Church Road,,Louisville,KY,40258,40258,38.148686,-85.830497,150,INFANT TO SCHOOL_AGE,594
JEFFERSON,Strathmoor Preschool Education Center,Strathmoor Presbyterian Church,"Kahl, Dina D.",2201 Hawthorne Avenue,,Louisville,KY,40205,40205,38.217056,-85.676186,99,TODDLER TO TWO_TO_SCHOOL,595
JEFFERSON,Springdale Preschool,"Springdale Presbyterian Church, Inc.","Salot, Carrie Ann",7812 Brownsboro Road,,Louisville,KY,40241,40241,38.293386,-85.603902,120,TWO_TO_SCHOOL,596
JEFFERSON,Second Presbyterian Weekday School,The Second Presbyterian Church Of Louisville,"Warner, Lisa",3701 Old Brownsboro Road,,Louisville,KY,40207,40207,38.26646,-85.667274,286,INFANT TO SCHOOL_AGE,597
JEFFERSON,Georgia Chaffee Teenage Parent Program at South Park Co-Op CDC,Jefferson County Public Schools,"Greene, Brittany Nicole",1010 Neighborhood Place,,Fairdale,KY,40118-9673,40118,38.11641,-85.74975,110,INFANT TO TWO_TO_SCHOOL,598
JEFFERSON,Christ Church Preschool and Kindergarten,"Christ Church, United Methodist, Inc.","Pittman, Colleen Pearl",4614 Brownsboro Road,,Louisville,KY,40207,40207,38.273837,-85.644237,400,INFANT TO SCHOOL_AGE,599
JEFFERSON,Sonshine House Christian Day Care & Preschool,Okolona Church Of Christ,"Justice, Jackie Ann",6105 Outer Loop,,Louisville,KY,40219,40219,38.139084,-85.647102,225,INFANT TO SCHOOL_AGE,600
JEFFERSON,Virginia Chance School,"Virginia Chance School, Inc.","Houston, Debra Carol",4200 Lime Kiln Lane,,Louisville,KY,40222,40222,38.312845,-85.645383,156,TODDLER TO SCHOOL_AGE,601
JEFFERSON,Klondike Elementary Childcare Enrichment Program,The Young Mens Christian Association Of Greater Louisville,"Yates, Brandon Dane",3807 Klondike Lane,,Louisville,KY,40218,40218,38.208959,-85.63746,100,TWO_TO_SCHOOL TO SCHOOL_AGE,602
JEFFERSON,Trinity Presbyterian Preschool,Trinity Presbyterian Church,"Bodine, Elizabeth Marie",10200 Shelbyville Road,,Louisville,KY,40223,40223,38.245147,-85.567158,86,TWO_TO_SCHOOL,603
JEFFERSON,Shively Baptist Church Child's Day Out,Shively Baptist Church,"Klinglesmith, Courtney Jo",1599 Sadie Lane,,Louisville,KY,40216,40216,38.18077,-85.8093,238,INFANT TO SCHOOL_AGE,604
JEFFERSON,Harvey Browne Preschool,"Harvey Browne Memorial Presbyterian Church, Inc.","Bailey, Barbara Jean",311 Browns Lane,,Louisville,KY,40207,40207,38.249712,-85.644304,180,TWO_TO_SCHOOL,605
JEFFERSON,Watkins Preschool and Early Learning Center,"William T. Watkins Memorial United Methodist Church, Inc.","Peterson, Margaret Denise",9800 Westport Road,,Louisville,KY,40241,40241,38.287456,-85.569691,166,TODDLER TO TWO_TO_SCHOOL,606
JEFFERSON,John Paul II Academy Early Childhood Program / After School Care,John Paul II Academy,"Smith, Susan Elaine",3525 & 3521 Goldsmith Lane,,Louisville,KY,40220,40220,38.20854,-85.65281,125,TWO_TO_SCHOOL TO SCHOOL_AGE,607
JEFFERSON,Highland Presbyterian Church Nursery and Weekday School,"Highland Presbyterian Church, Inc. (louisville)","Lacy, Ann",2114 Highland Avenue,,Louisville,KY,40204,40204,38.241425,-85.72218,160,INFANT TO SCHOOL_AGE,608
JEFFERSON,Monsignor Horrigan - St. James Children's Care,Roman Catholic Bishop Of Louisville,"Herbert, Eleanor Christine",1818 Edenside Avenue,,Louisville,KY,40204,40204,38.23187,-85.712135,60,TWO_TO_SCHOOL TO SCHOOL_AGE,609
JEFFERSON,Mary Queen of Peace Pre-School Pre-Kindergarten,Mary Queen Of Peace Parish,"Gibson, Norma Ernestine",4007 Dixie Highway,,Louisville,KY,40216,40216,38.191715,-85.808266,30,TODDLER TO TWO_TO_SCHOOL,610
JEFFERSON,St. Bernard Preschool & After School Care,St. Bernard School,"Bruno, Donna Marie",7501 Tangelo Drive,,Louisville,KY,40228,40228,38.147087,-85.62301,160,TWO_TO_SCHOOL TO SCHOOL_AGE,611
JEFFERSON,St. Stephen Martyr Out of School Program,St. Stephen Martyr Church,"Jenkins, Rebecca Joan",3015 Greenup Avenue,,Louisville,KY,40217,40217,38.209507,-85.72921,179,TWO_TO_SCHOOL TO SCHOOL_AGE,612
JEFFERSON,Middletown Elementary Childcare Enrichment Program,The Young Mens Christian Association Of Greater Louisville,"Davis, Karen Michelle",218 North Madison Avenue,,Louisville,KY,40243,40243,38.25019,-85.54168,250,TWO_TO_SCHOOL TO SCHOOL_AGE,613
JEFFERSON,St. Matthews Elementary YMCA SACC,The Young Mens Christian Association Of Greater Louisville,"Lee, Chaelyn Nicole",601 Browns Lane,,Louisville,KY,40207,40207,38.245554,-85.640337,294,TWO_TO_SCHOOL TO SCHOOL_AGE,614
JEFFERSON,S.A.F.E. St. Athanasius After School Care,St. Athanasius Parish,"McCabe, Deborah Renee",5915 Outer Loop Drive,,Louisville,KY,40219,40219,38.1385,-85.65222,130,TWO_TO_SCHOOL TO SCHOOL_AGE,615
JEFFERSON,Jeffersontown Elementary Childcare Enrichment Program,The Young Mens Christian Association Of Greater Louisville,"Hicks, Terralynn Denise",3610 Cedarwood Way,,Louisville,KY,40299,40299,38.191856,-85.58339,100,TWO_TO_SCHOOL TO SCHOOL_AGE,616
JEFFERSON,DuValle Education Center Early Head Start Program,Jefferson County Public Schools,"Clark, Brian James",3610 Bohne Avenue,,Louisville,KY,40211,40211,38.228558,-85.81575,34,TODDLER,617
JEFFERSON,Keneseth Israel Preschool,"Keneseth Israel Congregation, Inc.","Loewy, Shary Lynne",2531 Taylorsville Road,,Louisville,KY,40205,40205,38.22406,-85.674862,120,TODDLER TO SCHOOL_AGE,618
JEFFERSON,Playworld Child Development Center,"Playworld Child Development Center, Inc.","Johnson, Madeline Rose",7200 Peppermill Lane,,Louisville,KY,40228,40228,38.14299,-85.627205,99,INFANT TO SCHOOL_AGE,619
DAVIESS,Pleasant Grove Christian Learning Center,"Pleasant Grove Baptist Church, Incorporated Of Owensboro, Kentucky","Garrenton, Larissa Nell",5664 State Route 56,,Owensboro,KY,42301,42301,37.75538,-87.20448,99,INFANT TO SCHOOL_AGE,620
JEFFERSON,Rainbow Nursery School,Trustees Of The West Broadway Baptist Church,"Smith, Leigh Ann",8420 Six Mile Lane,,Louisville,KY,40220,40220,38.197882,-85.59848,107,TODDLER TO TWO_TO_SCHOOL,621
JEFFERSON,Dunn Elementary Childcare Enrichment Program,The Young Mens Christian Association Of Greater Louisville,"Lee, Chaelyn Nicole",2010 Rudy Lane,,Louisville,KY,40211,40211,38.28412,-85.64274,150,TWO_TO_SCHOOL TO SCHOOL_AGE,622
JEFFERSON,St. Edward PreSchool/JRK/After School/Summer Programs,Roman Catholic Bishop Of Louisville,"Mike, Michelle Andree'",9610 Sue Helen Drive,,Jeffersontown,KY,40299,40299,38.194843,-85.58083,78,TWO_TO_SCHOOL TO SCHOOL_AGE,623
JEFFERSON,Hayfield Montessori School,The Hayfield Montessori School,"Abell, Aline Mary",2000 Tyler Lane,,Louisville,KY,40205,40205,38.21358,-85.683013,102,TWO_TO_SCHOOL TO SCHOOL_AGE,624
JEFFERSON,Fern Creek Baptist Child Development Center,Fern Creek Baptist Church,"Bosemer, Terri Lynn",5920 Bardstown Road,,Louisville,KY,40291,40291,38.159417,-85.592955,60,TWO_TO_SCHOOL,625
JEFFERSON,Johnson's After School Activities Program at Our Lady of Mt. Carmel,"Johnson Day Care, Inc.","Johnson, Susan Carol",7333 Southside Drive,,Louisville,KY,40214,40214,38.147335,-85.77378,173,SCHOOL_AGE,626
JEFFERSON,Middletown United Methodist Child Development Center,"Middletown United Methodist Church, Inc.","Smith, Karen Jo",11902 Old Shelbyville Road,,Middletown,KY,40243,40243,38.243688,-85.534097,99,INFANT TO TWO_TO_SCHOOL,627
JEFFERSON,Chapel Hill Preschool,"Chapel Hill United Church Of Christ, Incorporated","Hawkins, Melinda Lee",2307 Embassy Lane,,Louisville,KY,40216,40216,38.17776,-85.83769,70,TWO_TO_SCHOOL,628
JEFFERSON,Cane Run Elementary Childcare Enrichment Program,The Young Mens Christian Association Of Greater Louisville,"Middelton, Lisa Ann",3951 Cane Run Road,,Louisville,KY,40211,40211,38.209568,-85.82403,104,TWO_TO_SCHOOL TO SCHOOL_AGE,629
JEFFERSON,Hawthorne Elementary Childcare Enrichment Program,The Young Mens Christian Association Of Greater Louisville,"Slaten, Valerie Rae",2301 Clarendon Avenue,,Louisville,KY,40205,40205,38.218273,-85.67064,100,TWO_TO_SCHOOL TO SCHOOL_AGE,630
JEFFERSON,Northeast Family YMCA Child Development Center,The Young Mens Christian Association Of Greater Louisville,"Ashcraft, Mandee Lynn",9400 Mill Brook Road,,Louisville,KY,40223,40223,38.267467,-85.57853,80,INFANT TO TWO_TO_SCHOOL,631
JEFFERSON,Kids Academy IV,"Kid-s-kastle Child Care And Development Center, Inc.","Flaherty, Deana Lynn",13905 Shelbyville Road,,Louisville,KY,40245,40245,38.240935,-85.49171,222,INFANT TO SCHOOL_AGE,632
JEFFERSON,St. Lawrence Child Enrichment Center,St. Lawrence Parish,"Stewart, Suzanne Michaele",1925 Lewiston Drive,,Louisville,KY,40216,40216,38.174335,-85.830668,186,TWO_TO_SCHOOL TO SCHOOL_AGE,633
JEFFERSON,Middletown Christian Preschool & Kindergarten,"Middletown Christian Church, Inc.","Johnson, Carrie Jean",500 North Watterson Trail,,Louisville,KY,40243,40243,38.244038,-85.54354,193,TODDLER TO SCHOOL_AGE,634
ANDERSON,Anderson County Head Start/Daycare Center,"Blue Grass Community Action Partnership, Inc.","Banks, Betty J",1593 Harrodsburg Road,,Lawrenceburg,KY,40342,40342,38.00253,-84.8777,106,TWO_TO_SCHOOL TO SCHOOL_AGE,635
CALDWELL,Caldwell County School Age Child Care,Caldwell County Board Of Education,"Gaddie, Stephanie Gail",105 Education Drive,,Princeton,KY,42445,42445,37.140606,-87.865635,99,SCHOOL_AGE,636
JEFFERSON,Georgia Chaffee Westport Teenage Parent Program Co-op CDC,Jefferson County Public Schools,"Moore, Tanay Nichole",8800 Westport Road,,Louisville,KY,40242,40242,38.279949,-85.588157,133,INFANT TO TWO_TO_SCHOOL,637
JEFFERSON,Waldorf School of Louisville,"Waldorf School Of Louisville, Inc.","Richards, Rebecca Lynn",8005 New Lagrange Road,,Louisville,KY,40222,40222,38.257499,-85.607001,68,TWO_TO_SCHOOL TO SCHOOL_AGE,638
JEFFERSON,Beulah Preschool,"Beulah Presbyterian Church, Inc.","Maier, Christy Kay",6704 Bardstown Road,,Louisville,KY,40291,40291,38.149192,-85.58741,60,TODDLER TO TWO_TO_SCHOOL,639
JEFFERSON,Christian Academy Preschool,"Christian Academy Of Louisville, Inc.","Stinnett, Kelly Anne",3110 Rock Creek Drive,,Louisville,KY,40207,40207,38.242115,-85.668962,82,TWO_TO_SCHOOL,640
JEFFERSON,YMCA St. Patrick Afterschool Program,The Young Mens Christian Association Of Greater Louisville,"Slaten, Valerie Rae",1000 N. Beckley Station Road,,Louisville,KY,40245,40245,38.2511,-85.47553,88,TWO_TO_SCHOOL TO SCHOOL_AGE,641
JEFFERSON,St. Francis Of Assisi After School Care,St. Francis Of Assisi Church/school,"Whittaker, Fredrick Joseph",1938 Alfresco Place,,Louisville,KY,40205,40205,38.225483,-85.69943,93,SCHOOL_AGE,642
JEFFERSON,Bright Expectations Child Development Center,"Bright Expectations, Inc.","Hoffman, Beckie",9303 Hurstbourne Park Blvd.,,Louisville,KY,40220,40220,38.221806,-85.58179,146,INFANT TO SCHOOL_AGE,643
JEFFERSON,St. Gabriel  Preschool and After School Enrichment,St. Gabriel Church,"Pierce, Anne Shelton",5503 Bardstown Road,,Louisville,KY,40291,40291,38.167092,-85.599126,261,TWO_TO_SCHOOL TO SCHOOL_AGE,644
JEFFERSON,Christ Lutheran Kindergarten and PreSchool,Christ Evangelical Lutheran Church,"Miller, Keira Lynnett",9212 Taylorsville Road,,Jeffersontown,KY,40299,40299,38.21065,-85.58599,68,TWO_TO_SCHOOL TO SCHOOL_AGE,645
JEFFERSON,Bowen Elem. Childcare Enrichment Program,The Young Mens Christian Association Of Greater Louisville,"Davis, Karen Michelle",1601 Roosevelt Avenue,,Louisville,KY,40242,40242,38.269047,-85.58213,149,TWO_TO_SCHOOL TO SCHOOL_AGE,646
JEFFERSON,Zachary Taylor Elementary Childcare Enrichment Program,The Young Mens Christian Association Of Greater Louisville,"Davis, Karen Michelle",9620 Westport Road,,Louisville,KY,40241,40241,38.28698,-85.573944,100,TWO_TO_SCHOOL TO SCHOOL_AGE,647
JEFFERSON,YMCA/St. Margaret Mary Afterschool Program,The Young Mens Christian Association Of Greater Louisville,"Slaten, Valerie Rae",7813 Shelbyville Road,,Louisville,KY,40222,40222,38.25059,-85.609056,100,TWO_TO_SCHOOL TO SCHOOL_AGE,648
JEFFERSON,Fern Creek Elementary Childcare Enrichment Program,The Young Mens Christian Association Of Greater Louisville,"Slaten, Valerie Rae",8815 Ferndale Road,,Louisville,KY,40291,40291,38.155346,-85.595924,100,TWO_TO_SCHOOL TO SCHOOL_AGE,649
JEFFERSON,Norton Elementary YMCA SACC,The Young Mens Christian Association Of Greater Louisville,"Lee, Chaelyn Nicole",8101 Brownsboro Road,,Louisville,KY,40241,40241,38.297726,-85.599569,200,TWO_TO_SCHOOL TO SCHOOL_AGE,650
JEFFERSON,Our Lady of Lourdes Extended School Day Program,Our Lady of Lourdes Church,"Hagan, Mary Margaret",510 Breckenridge Lane,,Louisville,KY,40207,40207,38.244067,-85.649982,132,TWO_TO_SCHOOL TO SCHOOL_AGE,651
JEFFERSON,St. Francis Preschool,"St. Francis School, Inc.","Hennessy, Sharon Renee",11000 Us Highway 42,,Goshen,KY,40026,40026,38.4105,-85.55968,50,TWO_TO_SCHOOL,652
JEFFERSON,Coleridge Taylor Elem Childcare Enrichment Program,The Young Mens Christian Association Of Greater Louisville,"Graybeal, Mary D.",1115 W. Chestnut Street,,Louisville,KY,40203,40203,38.250275,-85.7699,254,TWO_TO_SCHOOL TO SCHOOL_AGE,653
JEFFERSON,Field Elementary Childcare Enrichment Program,The Young Mens Christian Association Of Greater Louisville,"Taylor, Benjamin Richard",120 Sacred Heart Lane,,Louisville,KY,40206,40206,38.253036,-85.67828,100,TWO_TO_SCHOOL TO SCHOOL_AGE,654
DAVIESS,Meadow Lands After School Program,Daviess County Public Schools,"Roach, Mary Lynne",3500 Hayden Road,,Owensboro,KY,42303,42303,37.768953,-87.058038,175,SCHOOL_AGE,655
JEFFERSON,Johnson's 2,"Johnson's 2, Inc.","Roberts, Christine Diane",8010 Old Third Street Road,,Louisville,KY,40214,40214,38.127308,-85.79498,166,INFANT TO SCHOOL_AGE,656
JEFFERSON,St. Paul's Preschool,St. Paul's Episcopal Church,"Fischer, Robyn Marie",4700 Lowe Road,,Louisville,KY,40220,40220,38.222626,-85.60942,91,TWO_TO_SCHOOL TO SCHOOL_AGE,657
JEFFERSON,Hite Elementary Childcare Enrichment Program,The Young Mens Christian Association Of Greater Louisville,"Davis, Karen Michelle",12408 Old Shelbyville Road,,Louisville,KY,40243,40243,38.238095,-85.524088,99,TWO_TO_SCHOOL TO SCHOOL_AGE,658
JEFFERSON,Bright Beginnings Child Development Center,"Bright Beginnings Child Development Center, Inc.","Thomas, Andrea Denise",5057 Poplar Level Road,Suite 3,Louisville,KY,40219,40219,38.164233,-85.678609,40,INFANT TO SCHOOL_AGE,659
JEFFERSON,First Gethsemane Child Development Center,"The First Gethsemane Center For Family Development, Inc.","Harwell, Gail Denise",1159 Algonquin Parkway,,Louisville,KY,40208,40208,38.216854,-85.77502,60,INFANT TO SCHOOL_AGE,660
JEFFERSON,Watterson Elementary Childcare Enrichment Program,The Young Mens Christian Association Of Greater Louisville,"Graybeal, Mary D.",3900 Breckinridge Lane,,Louisville,KY,40218,40218,38.192154,-85.62565,69,TWO_TO_SCHOOL TO SCHOOL_AGE,661
JEFFERSON,MiniVersity Downtown Child Development Center,"Louisville Central Community Center, Inc.","Johnson, Pamela Jean",306 Roy Wilkins Avenue,,Louisville,KY,40203,40203,38.25465,-85.765204,123,INFANT TO SCHOOL_AGE,662
JEFFERSON,Okolona Child Development Center,"Okolona Child Development Center, Inc.","Johnson, Alisha",7201- B  Preston Highway,,Louisville,KY,40219,40219,38.149803,-85.699898,44,INFANT TO SCHOOL_AGE,663
JEFFERSON,McFerran Elementary Childcare Enrichment Program,The Young Mens Christian Association Of Greater Louisville,"Hicks, Terralynn Denise",1900 South Seventh Street,,Louisville,KY,40208,40208,38.220994,-85.775972,286,TWO_TO_SCHOOL TO SCHOOL_AGE,664
JEFFERSON,The Enrichment Center,"Enrichment Center Of Kentucky, Inc.","Vaught, Trina",702 East Gray Street,,Louisville,KY,40202,40202,38.2458,-85.74117,129,INFANT TO SCHOOL_AGE,665
JEFFERSON,Jeffersontown United Methodist Child Development Center,"Jeffersontown United Methodist Church, Inc.","Webster, Jennifer Lea",10219 Taylorsville Road,,Louisville,KY,40299,40299,38.195921,-85.566512,100,INFANT TO SCHOOL_AGE,666
JEFFERSON,Bates Elementary Childcare Enrichment Program,The Young Mens Christian Association Of Greater Louisville,"Graybeal, Mary D.",7601 Bardstown Road,,Louisville,KY,40291,40291,38.137386,-85.578281,90,TWO_TO_SCHOOL TO SCHOOL_AGE,667
JEFFERSON,St. Albert the Great Play Cafe',St. Albert The Great Church,"Burton, Ellen Cash",1301 Techny Lane,,Louisville,KY,40222,40222,38.272026,-85.62081,115,TWO_TO_SCHOOL TO SCHOOL_AGE,668
JEFFERSON,Lil Angels Enrichment,Lil Angels Enrichment,"Lee, Shea'lia Malon",1803 West Broadway,,Louisville,KY,40203,40203,38.248962,-85.78166,60,INFANT TO SCHOOL_AGE,669
JEFFERSON,"Southside Christian Day Care, #4","Southside Christian Day Care, Inc.","Williams, Carole Yvette",2220 Dixie Highway,,Louisville,KY,40210,40210,38.217125,-85.79501,52,INFANT TO SCHOOL_AGE,670
JEFFERSON,"Southside Christian Day Care, #1","Southside Christian Day Care, Inc.","Cooksey, Kenya Lanette",5804 Southside Drive,,Louisville,KY,40214,40214,38.16663,-85.764786,40,INFANT TO SCHOOL_AGE,671
JEFFERSON,"Southside Christian Day Care, #3","Southside Christian Day Care, Inc.","Williams, Elizabeth",7419 St. Andrews Church Road,,Louisville,KY,40214,40214,38.153106,-85.80598,99,INFANT TO SCHOOL_AGE,672
