"dcid","permit_number","program_name","facility_type","program_type","address","borough","zipcode","phone","age_range","capacity","administer_medication","bin","bbl","community_board","council_district","census_tract","nta_code","latitude","longitude"
"DC20424","N/A","STEPHEN GAYNOR SCHOOL","SBCC","PRESCHOOL","148 WEST 90TH STREET","MANHATTAN","10024","(212) 787-7070","3 YEARS - 5 YEARS","NO DATA","No","1087310","1012207506","107","06","017300","MN12","40.789934760968","-73.972452625593"
"DC41231","105789","THE PUERTO RICAN ORGANIZATION TO MOTIVATE, ENLIGHTEN, AND SERVE ADDICTS, INC. (PROMESA)","GCC","PRESCHOOL","1564 ST. PETERS AVE","BRONX","10461","(929) 638-1435","2 YEARS - 5 YEARS","52","No","2041898","2039860007","210","18","020000","BX37","40.84056259487","-73.847592970577"
"DC20455","8215","YESHIVA EARLY HEAD START","GCC","PRESCHOOL","636-640 BEDFORD AVENUE","BROOKLYN","11249","(718) 963-1212","2 YEARS - 5 YEARS","233","No",,"3","301","33","053700","BK72","40.702205409454","-73.958993198117"
"DC2046","5927","ASTOR SERVICES FOR CHILDREN & FAMILIES","GCC","PRESCHOOL","4010 DYRE AVENUE","BRONX","10466","(718) 515-3000","2 YEARS - 5 YEARS","40","Yes","2067131","2049700010","212","12","045600","BX03","40.891105693779","-73.831059656347"
"DC20485","8204","HUGS & KIDDIES OF STATEN ISLAND N.Y. LLC","GCC","PRESCHOOL","140 HARVEST AVENUE","STATEN ISLAND","10310","(718) 273-6141","2 YEARS - 5 YEARS","28","No","5007860","5002920073","501","49","012100","SI35","40.627320840684","-74.109966844944"
"DC20505","8186","ELADIA'S KIDS PARENTS LLC","GCC","INFANT TODDLER","266 FLATBUSH AVENUE","BROOKLYN","11217","(718) 230-7560","0 YEARS - 2 YEARS","28","No","3018776","3009360019","306","39","016100","BK64","40.679063082479","-73.973836175181"
"DC20555","10777","DENIZKO DAYCARE, INC.","GCC","PRESCHOOL","51-07 69 STREET","QUEENS","11377","(718) 426-0123","2 YEARS - 5 YEARS","27","No","4056481","4024560029","405","30","049301","QN30","40.734798157597","-73.896014554451"
"DC20580","24497","BROOKLYN CHINESE AMERICAN ASSOCIATION,INC","GCC","PRESCHOOL","713 43RD STREET","BROOKLYN","11232","(718) 851-0869","2 YEARS - 5 YEARS","120","No","3018327","3009247501","307","38","009200","BK34","40.646054613612","-74.001308082072"
"DC20590","43577","ABC CHILD CENTER, INC.","GCC","INFANT TODDLER","109 NASSAU AVENUE","BROOKLYN","11222","(718) 389-9004","0 YEARS - 2 YEARS","41","No","3066150","3026480035","301","33","057100","BK76","40.724184501056","-73.949548902482"
"DC20591","8203","SUNSHINE NURSERY AND DAY CARE CENTER   I/T","GCC","INFANT TODDLER","580 GATES AVENUE","BROOKLYN","11221","(718) 452-9740","0 YEARS - 2 YEARS","16","No","3051226","3018150038","303","36","026500","BK75","40.687140460238","-73.942423207627"
"DC20592","8395","SUNSHINE  NURSERY & DAY CARE INC.","GCC","PRESCHOOL","580A GATES AVENUE","BROOKLYN","11221","(718) 452-9740","2 YEARS - 5 YEARS","26","No","3051227","3018150039","303","36","026500","BK75","40.687140460238","-73.942423207627"
"DC20603","8210","MONTESSORI DAY SCHOOL OF BROOKLYN","GCC","PRESCHOOL","237 PARK PLACE","BROOKLYN","11238","(718) 398-2322","2 YEARS - 5 YEARS","109","No","3028742","3011580047","308","35","016300","BK64","40.676992626148","-73.970170491817"
"DC12081","7380","THE PUERTO RICAN ORGANIZATION TO MOTIVATE, ENLIGHTEN, AND SERVE ADDICTS, INC. (PROMESA)","GCC","PRESCHOOL","300 EAST 175TH STREET","BRONX","10457","(347) 649-3209","2 YEARS - 5 YEARS","69","No","2112731","2028910039","205","14","023100","BX41","40.846624028246","-73.904557104389"
"DC20623","8138","HAPPY DRAGON OF NEW YORK, INC.","GCC","PRESCHOOL","5805 7TH AVENUE","BROOKLYN","11220","(718) 439-8816","2 YEARS - 5 YEARS","135","No","3016180","3008587501","307","43","010400","BK34","40.637852717374","-74.010668741396"
"DC20633","32037","RODI DAYCARE CENTER","GCC","PRESCHOOL","3560 NETHERLAND AVENUE","BRONX","10463","(718) 601-0406","2 YEARS - 5 YEARS","19","No","2084156","2057940493","208","11","029700","BX29","40.886424704519","-73.910582886838"
"DC20651","N/A","ATERET TORAH CENTER","SBCC","PRESCHOOL","2166 CONEY ISLAND AVENUE","BROOKLYN","11223","(718) 375-7100","3 YEARS - 5 YEARS","NO DATA","No","3394079","3066850034","315","48","041600","BK25","40.604192992985","-73.961653742607"
"DC20655","N/A","NEW DORP CHRISTIAN ACADEMY","SBCC","PRESCHOOL","259 ROSE AVENUE","STATEN ISLAND","10306","(718) 351-4442","2 YEARS - 5 YEARS","NO DATA","No","5107616","5042200029","502","50","013400","SI45","40.57133625551","-74.114668841919"
"DC20687","53757","KEITH HARING SCHOOL","GCC","INFANT TODDLER","318 EAST 116TH STREET","MANHATTAN","10029","(212) 426-3960","0 YEARS - 2 YEARS","18","No","1052925","1016870042","111","08","018800","MN34","40.796689374081","-73.937069431649"
"DC20719","8334","HAPPY I  DAYCARE","GCC","PRESCHOOL","48-06 212 STREET","QUEENS","11364","(718) 229-1910","2 YEARS - 5 YEARS","26","No","4158309","4073700001","411","23","143500","QN46","40.754899080152","-73.768883502474"
"DC20765","8250","URBAN CONCEPTS OF NEW YORK ROUND THE CLOCK NURSERY, INC.","GCC","INFANT TODDLER","301B WEST 130 STREET","MANHATTAN","10027","(212) 694-0615","0 YEARS - 2 YEARS","8","No","1084087","1019580001","110","09","021500","MN03","40.813435496437","-73.948978828936"
"DC20771","N/A","BEIS CHAYA MUSKA SCHOOL","SBCC","PRESCHOOL","1505 CARROLL STREET","BROOKLYN","11213","(718) 756-0770","2 YEARS - 5 YEARS","NO DATA","No","3037851","3014060044","309","35","033500","BK63","40.666464251842","-73.937549628229"
"DC20798","8128","KISSENA CHERRY DAYCARE INC.","GCC","PRESCHOOL","140-26 CHERRY AVE.","QUEENS","11355","(718) 886-2889","2 YEARS - 5 YEARS","100","No","4535115","4051927502","407","20","085900","QN22","40.754116083704","-73.822413781246"
"DC20809","8262","BAIS YAAKOV FAIGEH SCHONBERGER OF ADAS YEREIM","GCC","INFANT TODDLER","1169 43RD STREET","BROOKLYN","11219","(718) 435-5111","0 YEARS - 2 YEARS","16","No","3135866","3055970053","312","44","022400","BK88","40.640273814085","-73.991741423202"
"DC2087","7139","LAVELLE SCHOOL FOR THE BLIND","GCC","PRESCHOOL","3830 PAULDING AVENUE","BRONX","10469","(718) 882-1212","2 YEARS - 5 YEARS","60","No","2097396","2047030001","212","12","039800","BX44","40.881922971467","-73.853924081823"
"DC20894","8173","ESCUELA HISPANA  MONTESSORI","GCC","PRESCHOOL","180 SUFFOLK STREET","MANHATTAN","10002","(917) 672-3409","2 YEARS - 5 YEARS","187","Yes","1004240","1003500008","103","02","003001","MN27","40.721060093406","-73.98501040944"
"DC2090","7444","THE CHILDREN'S AID SOCIETY","GCC","PRESCHOOL","1515 SOUTHERN BOULEVARD","BRONX","10460","(718) 764-2409","2 YEARS - 5 YEARS","79","Yes","2113511","2029770110","203","17","015500","BX75","40.833727148416","-73.889932809537"
"DC20905","N/A","OUR LADY OF GRACE CATHOLIC ACADEMY","SBCC","PRESCHOOL","385 AVENUE W","BROOKLYN","11223","(718) 375-2081","3 YEARS - 5 YEARS","NO DATA","No","3193833","3071540040","315","44","038800","BK25","40.592886596403","-73.968638323786"
"DC20912","N/A","SACRED HEART CATHOLIC ACADEMY OF BAYSIDE","SBCC","PRESCHOOL","216-01 38TH AVE","QUEENS","11361","(718) 631-4804","3 YEARS - 5 YEARS","60","No","4136719","4061840029","411","19","111300","QN46","40.767401317655","-73.76743560664"
"DC20914","N/A","SAINT BERNARD CATHOLIC ACADEMY","SBCC","PRESCHOOL","2030 EAST 69 STREET","BROOKLYN","11234","(718) 241-6040","3 YEARS - 5 YEARS","NO DATA","No","3237222","3084090050","318","46","069602","BK45","40.619570311828","-73.909724239652"
"DC20919","N/A","SAINT FRANCIS DESALES","SBCC","PRESCHOOL","219 BEACH 129TH STREET","QUEENS","11694",,"3 YEARS - 5 YEARS","NO DATA","No","4439031","4162250020","414","32","093401","QN10","40.576502805822","-73.848323826067"
"DC20922","N/A","ST. HELEN CATHOLIC ACADEMY","SBCC","PRESCHOOL","83-09 157TH AVE","QUEENS","11414","(718) 835-4155","3 YEARS - 5 YEARS","NO DATA","No","4457754","4139470025","410","32","089200","QN57","40.661206251681","-73.849856975139"
"DC20923","N/A","SAINT PETERS CATHOLIC ACADEMY","SBCC","PRESCHOOL","8401 23RD AVENUE","BROOKLYN","11214","(718) 372-0025","3 YEARS - 5 YEARS","NO DATA","No","3329173","3068550001","311","43","029800","BK29","40.60164911125","-73.990467819497"
"DC20926","N/A","ST. PATRICK CATHOLIC ACADEMY","SBCC","PRESCHOOL","401 97TH STREET","BROOKLYN","11209","(718) 833-0124","3 YEARS - 5 YEARS","NO DATA","No","3339181","3061230011","310","47","016200","BK31","40.614680115227","-74.031674508426"
"DC20927","N/A","SAINT STANISLAUS KOSTKA CATHOLIC ACADEMY","SBCC","PRESCHOOL","12 NEWELL STREET","BROOKLYN","11222","(929) 205-1240","3 YEARS - 5 YEARS","NO DATA","No","3066952","3026840042","301","33","057100","BK76","40.723370694008","-73.946555105687"
"DC2093","7055","IMAGINE EARLY LEARNING CENTER-INFANT","GCC","INFANT TODDLER","50 MONROE PLACE","BROOKLYN","11201","(718) 624-7520","0 YEARS - 2 YEARS","18","No","3001917","3002380007","302","33","000502","BK09","40.695710153787","-73.99283082263"
"DC20953","13457","THE LEAGUE SCHOOL","GCC","PRESCHOOL","470 VANDERBILT AVENUE","BROOKLYN","11238","(718) 643-5300","2 YEARS - 5 YEARS","177","No","3335094","3020090001","302","35","019900","BK69","40.683041476639","-73.96782417557"
"DC20960","9517","SUNSHINE LEARNING CENTER","GCC","PRESCHOOL","416 WILLIS AVENUE","BRONX","10454","(718) 989-9804","2 YEARS - 5 YEARS","126","No","2098220","2022890003","201","08","004300","BX39","40.813062134346","-73.919977080676"
"DC41332","105779","BRIGHT HORIZONS AT ESSEX CROSSINGS","GCC","INFANT TODDLER","151 CLINTON STREET","MANHATTAN","10002","(917) 736-9242","0 YEARS - 2 YEARS","54","Yes","1089660","1003467501","103","01","001402","MN28","40.716449063467","-73.986457998799"
"DC20320","8383","BEDROCK PRESCHOOL","GCC","INFANT TODDLER","3220 ARLINGTON AVENUE","BRONX","10463","(718) 884-0020","0 YEARS - 2 YEARS","18","No","2109355","2057887501","208","11","029700","BX29","40.884587070746","-73.912310444589"
"DC20983","N/A","New Covenant Christian Church, Inc.","SBCC","PRESCHOOL","1181 BOSTON ROAD","BRONX","10456","(718) 519-8884","3 YEARS - 5 YEARS","100","No","2004287","2026140043","203","17","018500","BX35","40.828982245639","-73.902949215202"
"DC20995","69737","BUMBLEBEES R US","GCC","PRESCHOOL","335 PROSPECT AVENUE","BROOKLYN","11215","(718) 576-3919","2 YEARS - 5 YEARS","22","No","3325181","3010550047","307","39","014900","BK37","40.662160280097","-73.987265636095"
"DC21004","8230","SUNFLOWER PLAYHOUSE","GCC","PRESCHOOL","787A WASHINGTON AVENUE","BROOKLYN","11238","(718) 623-2900","2 YEARS - 5 YEARS","17","No","3029550","3011770006","308","35","021500","BK64","40.673079178592","-73.962843288107"
"DC21006","8303","SUNSHINE DAYCARE OF EAST HARLEM LLC","GCC","PRESCHOOL","1330 5TH AVENUE","MANHATTAN","10026","(212) 444-1177","2 YEARS - 5 YEARS","47","No","1084511","1015957501","110","09","018600","MN11","40.797803974298","-73.948557442339"
"DC21010","N/A","Our Lady of Fatima","SBCC","PRESCHOOL","25-38 80TH STREET","QUEENS","11370","(718) 429-7031","3 YEARS - 5 YEARS","NO DATA","No","4439088","4010560010","403","25","030904","QN28","40.762562660244","-73.888545553469"
"DC21012","N/A","OUR LADY OF TRUST CATHOLOIC ACADEMY","SBCC","PRESCHOOL","1696 CANARSIE ROAD","BROOKLYN","11236","(718) 241-6633","3 YEARS - 5 YEARS","NO DATA","No","3235033","3083160001","318","46","102800","BK50","40.631867449624","-73.891337041068"
"DC21038","8355","LITTLE HANDS AND FEET DAYCARE, LLC.","GCC","PRESCHOOL","1270 BAY RIDGE PARKWAY","BROOKLYN","11228","(718) 680-5437","2 YEARS - 5 YEARS","65","No","3159952","3062217501","310","38","020000","BK30","40.620755666058","-74.008202120121"
"DC21073","8341","THE NURTURING CENTER AND ACADEMY","GCC","INFANT TODDLER","112-18 SPRINGFIELD BLVD","QUEENS","11429","(718) 527-5932","0 YEARS - 2 YEARS","36","No","4240268","4111410056","413","27","053800","QN34","40.705000201114","-73.739936309754"
"DC40234","105535","FAIRYTALE DAY CARE INC.","GCC","PRESCHOOL","99-17 63 ROAD","QUEENS","11374","(718) 275-0204","2 YEARS - 5 YEARS","121","No","4050653","4021100056","406","24","071900","QN17","40.732562694582","-73.856684721458"
"DC2108","7268","SHEMA KOLAINU- HEAR OUR VOICES","GCC","PRESCHOOL","4302 NEW UTRECHT AVENUE","BROOKLYN","11219","(718) 686-9600","2 YEARS - 5 YEARS","24","No","3136067","3056020016","312","38","011200","BK34","40.641654595259","-73.994303193222"
"DC21085","N/A","OUR LADY OF SORROWS","SBCC","PRESCHOOL","35-34 105TH STREET","QUEENS","11368","(718) 426-5517","3 YEARS - 5 YEARS","NO DATA","No","4437218","4017460027","403","21","037900","QN26","40.754869132837","-73.86320573576"
"DC21091","8375","GARDEN HOUSE SCHOOL OF NEW YORK","GCC","PRESCHOOL","37 EAST 63RD STREET","MANHATTAN","10065","(212) 421-5095","2 YEARS - 5 YEARS","126","No","1041032","1013787501","108","04","012200","MN40","40.7659228191","-73.969177456822"
"DC21095","8231","RAVEN LEARNING CENTER, INC. INF/TODDLER","GCC","INFANT TODDLER","1102 EAST 92ND STREET","BROOKLYN","11236","(718) 927-2316","0 YEARS - 2 YEARS","10","No","3229538","3081790076","318","46","096400","BK50","40.64239306455","-73.906147560837"
"DC2110","7382","Associated Beth Rivkah Schools for Girls, Inc.","GCC","PRESCHOOL","470 LEFFERTS AVENUE","BROOKLYN","11225","(718) 735-0770","2 YEARS - 5 YEARS","261","No","3035454","3013310019","309","40","080600","BK60","40.662639559978","-73.945958758379"
"DC21106","8331","UNIVERSITY SETTLEMENT SOCIETY OF NEW YORK","GCC","INFANT TODDLER","89 CATHERINE STREET","MANHATTAN","10002","(212) 453-4554","0 YEARS - 2 YEARS","8","No","1077585","1002530001","103","01","000800","MN27","40.710512876211","-73.996558893408"
"DC2112","N/A","RAVEN'S EARLY CHILDHOOD EDUCATION CENTER INC. DBA. RAVEN'S DAY CARE","SBCC","PRESCHOOL","1102 EAST 92 STREET","BROOKLYN","11236","(718) 927-2316","3 YEARS - 5 YEARS","191","No","3229538","3081790076","318","46","096400","BK50","40.64239306455","-73.906147560837"
"DC21126","N/A","Yeshiva Birches Moshe","SBCC","PRESCHOOL","1774 58TH STREET","BROOKLYN","11204","(718) 234-6100","3 YEARS - 5 YEARS","NO DATA","No","3131451","3055040037","312","44","024400","BK88","40.623598797211","-73.986815527712"
"DC21141","8305","LITTLE SCHOLARS EARLY DEVELOPMENT CENTER LLC","GCC","PRESCHOOL","850 JENNINGS STREET","BRONX","10459","(718) 887-3963","2 YEARS - 5 YEARS","40","No","2010275","2029650100","203","17","015300","BX75","40.832292164333","-73.893389851756"
"DC2116","5467","STUYVESANT HEIGHTS CHRISTIAN CHURCH, INC.","GCC","PRESCHOOL","69 MACDONOUGH STREET","BROOKLYN","11216","(718) 783-5383","2 YEARS - 5 YEARS","52","No","3053328","3018510039","303","36","026900","BK75","40.680984703946","-73.943986087588"
"DC21161","103781","TASHBAR LEARNING CENTER","GCC","PRESCHOOL","1349 50TH STREET","BROOKLYN","11219","(718) 436-1234","2 YEARS - 5 YEARS","102","No","3137766","3056420053","312","44","023600","BK88","40.633812587314","-73.991608919754"
"DC21163","N/A","YESHIVA ARUGATH HABOSEM","SBCC","PRESCHOOL","40 LYNCH STREET","BROOKLYN","11206","(718) 237-4500","2 YEARS - 5 YEARS","NO DATA","No","3335347","3022350055","301","33","053100","BK75","40.700719411886","-73.956087277906"
"DC21171","N/A","BAIS SARAH SCHOOL","SBCC","PRESCHOOL","6101 16TH   AVENUE","BROOKLYN","11204","(718) 871-7571","2 YEARS - 5 YEARS","160","No","3132384","3055240001","311","43","024800","BK28","40.62417846838","-73.992629599614"
"DC21173","8304","SUNSHINE DAYCARE OF EAST HARLEM LLC","GCC","INFANT TODDLER","1330 5TH AVENUE","MANHATTAN","10026","(212) 444-1177","0 YEARS - 2 YEARS","48","No","1084511","1015957501","110","09","018600","MN11","40.797803974298","-73.948557442339"
"DC2118","6344","BROOKLYN CHILD CARE","GCC","PRESCHOOL","800 POLY PLACE","BROOKLYN","11209","(917) 329-4764","2 YEARS - 5 YEARS","30","No","3345707","3061530001","310","50","016400","BK31","40.609255542125","-74.023989844082"
"DC2119","7294","YELED V' YALDA EARLY CHILDHOOD CENTER,INC.","GCC","PRESCHOOL","6002 FARRAGUT ROAD","BROOKLYN","11236","(718) 209-1122","2 YEARS - 5 YEARS","157","No","3406498","3079820040","318","45","095000","BK50","40.637511710476","-73.919057048387"
"DC21213","N/A","THE CHEDER SCHOOL","SBCC","PRESCHOOL","129 ELMWOOD AVENUE","BROOKLYN","11230","(718) 252-6333","3 YEARS - 5 YEARS","NO DATA","No","3398191","3064990058","312","40","046201","BK42","40.627080118933","-73.975747946491"
"DC21220","N/A","MAGEN DAVID YESHIVAH- Early Childhood Center","SBCC","PRESCHOOL","2170 MCDONALD AVENUE","BROOKLYN","11223","(718) 265-3331","3 YEARS - 5 YEARS","NO DATA","No","3190443","3070870034","311","44","041000","BK29","40.599864920862","-73.972844636968"
"DC21229","N/A","BNOS YAKOV","SBCC","PRESCHOOL","274 KEAP STREET","BROOKLYN","11211","(718) 963-1212","2 YEARS - 5 YEARS","176","No","3060261","3022010025","301","33","052900","BK72","40.706626122112","-73.955989594576"
"DC21230","N/A","BNOS YAKOV OF BOROUGH PARK","SBCC","PRESCHOOL","1402 40TH STREET","BROOKLYN","11218","(718) 963-1212","3 YEARS - 5 YEARS","NO DATA","No","3124884","3053450006","312","39","023000","BK88","40.638502653751","-73.984315607733"
"DC21237","27797","SUNSHINE NURSERY AND DAY CARE CENTER","GCC","PRESCHOOL","580 GATES AVENUE","BROOKLYN","11221","(718) 452-9740","2 YEARS - 5 YEARS","25","No","3051226","3018150038","303","36","026500","BK75","40.687140460238","-73.942423207627"
"DC2124","7299","POSITIVE BEGINNINGS INC.","GCC","PRESCHOOL","72-52 METROPOLITAN AVENUE","QUEENS","11379","(718) 326-0055","2 YEARS - 5 YEARS","140","No","4312146","4036677501","405","30","061900","QN21","40.712651377199","-73.879932495683"
"DC21243","N/A","MAGEN DAVID YESH-ISSAC SHLM Elementary","SBCC","PRESCHOOL","2130 MCDONALD AVENUE","BROOKLYN","11223","(718) 265-3331","3 YEARS - 5 YEARS","410","No","3190438","3070870076","311","44","041000","BK29","40.600586775781","-73.972743512326"
"DC21250","8301","PARK SLOPE SCHOOLHOUSE CHILD CARE CENTER , INC. INFANT/TODDLER","GCC","INFANT TODDLER","556 5TH AVENUE","BROOKLYN","11215","(718) 768-4873","0 YEARS - 2 YEARS","10","Yes","3023920","3010477502","307","38","014100","BK37","40.665366406076","-73.989485442452"
"DC41132","105805","LUMINOUS EARLY CHILD CARE CENTER","GCC","INFANT TODDLER","3322 DECATUR AVENUE","BRONX","10467","(718) 324-1052","0 YEARS - 2 YEARS","10","No","2117655","2033550090","207","11","042902","BX43","40.876980645949","-73.873208795156"
"DC21253","8251","CENTRAL PARK MONTESSORI, INC.","GCC","INFANT TODDLER","1 WEST 91ST STREET","MANHATTAN","10024","(212) 595-2000","0 YEARS - 2 YEARS","36","Yes","1031625","1012050029","107","06","017700","MN12","40.788528047931","-73.967130193305"
"DC2128","6093","JACKSON CHILD DEVELOPMENT CENTER, INC.","GCC","PRESCHOOL","31-36 88 STREET","QUEENS","11369","(718) 205-1919","2 YEARS - 5 YEARS","131","No","4595432","4013990023","403","25","033900","QN28","40.759181101094","-73.880353653"
"DC21284","62737","SUNFLOWER PLAYHOUSE CORP.","GCC","INFANT TODDLER","787A WASHINGTON AVENUE","BROOKLYN","11238","(718) 623-2900","0 YEARS - 2 YEARS","26","No","3029550","3011770006","308","35","021500","BK64","40.673079178592","-73.962843288107"
"DC21295","N/A","BAMBI ACADEMY","SBCC","PRESCHOOL","2937 86TH STREET","BROOKLYN","11223","(718) 333-0300","2 YEARS - 5 YEARS","NO DATA","No","3194355","3071700042","315","47","038600","BK26","40.590560579715","-73.97498714755"
"DC2130","6926","THE CHILDREN'S AID SOCIETY","GCC","PRESCHOOL","465 WEST 167 STREET","MANHATTAN","10032","(212) 740-8655","2 YEARS - 5 YEARS","55","Yes","1081842","1021120001","112","10","024900","MN36","40.838947320842","-73.936837761204"
"DC2131","4984","COMMITTEE FOR EARLY CHILDHOOD DEVELOPMENT DAY CARE CENTER, INCORPORATED","GCC","PRESCHOOL","193-04 JAMAICA AVENUE","QUEENS","11423","(718) 464-2422","2 YEARS - 5 YEARS","146","Yes","4231510","4108210038","412","27","050000","QN07","40.713112081472","-73.767250611541"
"DC2132","8049","COMMUNITY LIFE CENTER, INC.","GCC","PRESCHOOL","15 MOUNT MORRIS PARK WEST","MANHATTAN","10027","(212) 427-3000","2 YEARS - 5 YEARS","118","No","1053368","1017200058","110","09","020000","MN11","40.80484559289","-73.945510538581"
"DC21326","10198","KID KRAZY, INC.","GCC","PRESCHOOL","25-19 27 STREET","QUEENS","11102","(718) 204-0646","2 YEARS - 5 YEARS","48","No","4616724","4008397501","401","22","006900","QN71","40.771603114475","-73.920622799448"
"DC21327","10417","KID KRAZY, INC.","GCC","INFANT TODDLER","25-19 27 STREET","QUEENS","11102","(718) 204-0646","0 YEARS - 2 YEARS","10","No","4616724","4008397501","401","22","006900","QN71","40.771603114475","-73.920622799448"
"DC2133","5754","BROADWAY PRESBYTERIAN CHURCH","GCC","PRESCHOOL","601 WEST 114TH STREET","MANHATTAN","10025","(212) 864-6100","2 YEARS - 5 YEARS","30","No","1057367","1018960020","109","07","020500","MN09","40.806815711555","-73.965101868853"
"DC21351","9357","STEP BY STEP EARLY CHILDHOOD CENTER, INC.","GCC","INFANT TODDLER","1163 LENOX ROAD","BROOKLYN","11212","(718) 922-6366","0 YEARS - 2 YEARS","18","No","3101285","3046520040","317","41","089000","BK96","40.659897156386","-73.917663757718"
"DC2137","6954","POSITIVE BEGINNINGS INC.","GCC","PRESCHOOL","71-25 MAIN STREET","QUEENS","11367","(718) 261-0211","2 YEARS - 5 YEARS","150","No","4144021","4066580003","408","24","077906","QN37","40.727186632166","-73.822074515484"
"DC2139","6957","CHILDREN'S BIG APPLE EARLY CHILDHOOD CENTER, INC.","GCC","PRESCHOOL","41-26 CASE STREET","QUEENS","11373","(718) 651-6919","2 YEARS - 5 YEARS","20","No","4039116","4015650021","404","21","046700","QN29","40.746858079347","-73.873572887854"
"DC21405","8220","CONGREGATION OORAH","GCC","PRESCHOOL","374 RIDGEWOOD AVENUE","STATEN ISLAND","10312","(718) 948-7827","2 YEARS - 5 YEARS","55","No","5073662","5055280139","503","51","014607","SI54","40.556713416069","-74.165136998144"
"DC2142","6674","COMMUNITY RESOURCES","GCC","PRESCHOOL","3651 RICHMOND ROAD","STATEN ISLAND","10306","(718) 351-6416","2 YEARS - 5 YEARS","81","No","5037335","5022900025","502","50","027900","SI24","40.572210353439","-74.142829523848"
"DC21432","N/A","BIG APPLE ACADEMY ELEMENTARY SCHOOL","SBCC","PRESCHOOL","503 LAKE STREET","BROOKLYN","11223","(718) 333-1099","2 YEARS - 5 YEARS","NO DATA","No","3410089","3071700053","315","47","038600","BK26","40.591502045016","-73.975001195851"
"DC21458","8228","DREAMLAND DAY CARE CENTER","GCC","PRESCHOOL","1379 WEST 7TH STREET","BROOKLYN","11204","(718) 232-8155","2 YEARS - 5 YEARS","40","No","3392742","3065787502","311","43","043200","BK29","40.612256610527","-73.981494463164"
"DC45788","106986","CONGREGATION DARCHEI TORAH","GCC","PRESCHOOL","257 BEACH 17 STREET","QUEENS","11691","(718) 406-8315","2 YEARS - 5 YEARS","24","No","4454258","4156340094","414","31","101001","QN15","40.59674308247","-73.751147803108"
"DC40873","106144","Big Dreams Child Care Center, LLC","GCC","PRESCHOOL","3025 AVENUE U","BROOKLYN","11229","(718) 308-9594","2 YEARS - 5 YEARS","107","No","3427359","3073390049","315","46","056800","BK44","40.600861417135","-73.937967733208"
"DC21475","21777","TWO BY TWO CHILD CARE","GCC","INFANT TODDLER","418 KEAP STREET","BROOKLYN","11211","(718) 388-5600","0 YEARS - 2 YEARS","36","No","3397551","3023877501","301","34","051300","BK73","40.711614921839","-73.95298518881"
"DC21476","N/A","YESHIVAH OF FLATBUSH","SBCC","PRESCHOOL","919 EAST 10 STREET","BROOKLYN","11230","(718) 397-4466","3 YEARS - 5 YEARS","NO DATA","No","3170990","3065230001","312","44","045600","BK43","40.626372373823","-73.966486266382"
"DC21490","8365","DISCOVERY LANE, LLC","GCC","PRESCHOOL","27-17 27 STREET","QUEENS","11102","(347) 242-2315","2 YEARS - 5 YEARS","50","No","4006902","4005757501","401","22","007100","QN71","40.769414609405","-73.923286160363"
"DC215","5138","YESHIVATH KEHILATH YAKOV,INC.","GCC","PRESCHOOL","274 KEAP STREET","BROOKLYN","11211","(718) 486-6500","2 YEARS - 5 YEARS","169","No","3060261","3022010025","301","33","052900","BK72","40.706626122112","-73.955989594576"
"DC21507","N/A","CENTRAL UTA","SBCC","PRESCHOOL","84-88 SANFORD STREET","BROOKLYN","11205","(718) 797-2888","3 YEARS - 5 YEARS","NO DATA","No","3048462","3017360014","303","33","123700","BK75","40.696362527557","-73.953720844513"
"DC21529","N/A","TALMUD TORAH OHEL YOCHANAN","SBCC","PRESCHOOL","1325 38 ST","BROOKLYN","11218","(718) 431-2991","NO DATA","155","No","3000000","3053000062","312","39","022600","BK88","40.640758955067","-73.984992485372"
"DC2153","2261","EAST HARLEM BLOCK NURSERY, INC.","GCC","PRESCHOOL","215 EAST 106 STREET","MANHATTAN","10029","(212) 427-2571","2 YEARS - 5 YEARS","45","No","1080690","1016560001","111","08","017000","MN33","40.791305038445","-73.944040979553"
"DC2155","2061","GODDARD RIVERSIDE COMMUNITY CENTER","GCC","PRESCHOOL","114 WEST 91 STREET","MANHATTAN","10024","(212) 873-6865","2 YEARS - 5 YEARS","93","No","1077128","1012210007","107","06","017700","MN12","40.789991952364","-73.970643314084"
"DC2156","2055","CITIZENS CARE DAY CARE CENTER, INC.","GCC","PRESCHOOL","131 ST NICHOLAS AVENUE","MANHATTAN","10026","(212) 666-1683","2 YEARS - 5 YEARS","40","No","1058378","1019220041","110","09","021800","MN11","40.803986937195","-73.952721026637"
"DC21565","8269","WONDER LAND P.A. LLC","GCC","PRESCHOOL","1018 AVENUE  Y","BROOKLYN","11235","(718) 332-0500","NO DATA","140","No","3396930","3074300007","315","48","058800","BK25","40.589466725109","-73.960236446541"
"DC21573","8322","LITTLE BERRIES INC","GCC","PRESCHOOL","8416 19 AVENUE","BROOKLYN","11214","(929) 333-9595","2 YEARS - 5 YEARS","31","No","3165323","3063320042","311","38","027800","BK28","40.606946944107","-73.999409368292"
"DC21576","39238","IVY INTERNATIONAL USA INC","GCC","PRESCHOOL","70-44 KISSENA BLVD.","QUEENS","11367","(718) 880-1888","2 YEARS - 5 YEARS","124","No","4545453","4066560052","408","24","077906","QN37","40.730510972887","-73.815394182965"
